SEQ_NAME	START	END	STRAND	FEATURE_NAME	TXN_START	TXN_END	EXON_COUNT	EXON_STARTS	EXON_ENDS
chr0L	1015823	1015882	+	CAGL0L09339g, CAGL0L09361g	1015823	1015882	1	1015823	1015882
chr0C	68632	68691	+	CAGL0C00649g, CAGL0C00671g	68632	68691	1	68632	68691
chr0M	817169	817228	+	CAGL0M08206g	817169	817228	1	817169	817228
chr0G	253830	253889	+	CAGL0G02739g	253830	253889	1	253830	253889
chr0J	263052	263111	+	CAGL0J02662g	263052	263111	1	263052	263111
chr0A	242468	242527	+	CAGL0A02255g, CAGL0A02277g	242468	242527	1	242468	242527
chr0K	680863	680922	+	CAGL0K06963g, CAGL0K06985g	680863	680922	1	680863	680922
chr0K	844828	844887	+	CAGL0K08382g	844828	844887	1	844828	844887
chr0E	529497	529556	+	CAGL0E05412g	529497	529556	1	529497	529556
chr0F	626467	626526	+	CAGL0F06347g	626467	626526	1	626467	626526
chr0L	375861	375920	+	CAGL0L03267g, CAGL0L03289g	375861	375920	1	375861	375920
chr0I	122286	122345	+	CAGL0I01496g, CAGL0I01518g	122286	122345	1	122286	122345
chr0C	508377	508436	+	CAGL0C05313g	508377	508436	1	508377	508436
chr0J	408071	408130	+	CAGL0J04312g, CAGL0J04334g	408071	408130	1	408071	408130
chr0H	849751	849810	+	CAGL0H08712g, CAGL0H08734g	849751	849810	1	849751	849810
chr0H	446539	446598	+	CAGL0H04653g	446539	446598	1	446539	446598
chr0G	81111	81170	+	CAGL0G00924g	81111	81170	1	81111	81170
chr0G	486622	486681	+	CAGL0G05137r, CAGL0G05159g	486622	486681	1	486622	486681
chr0M	1356168	1356227	+	CAGL0M13783g	1356168	1356227	1	1356168	1356227
chr0F	898229	898288	+	CAGL0F09075g, CAGL0F09097g	898229	898288	1	898229	898288
chr0E	564031	564090	+	CAGL0E05676g	564031	564090	1	564031	564090
chr0I	615606	615665	+	CAGL0I06358g, CAGL0I06380g	615606	615665	1	615606	615665
chr0K	274027	274086	+	CAGL0K02981g, CAGL0K03003g	274027	274086	1	274027	274086
chr0K	432136	432195	+	CAGL0K04565g	432136	432195	1	432136	432195
chr0F	862341	862400	+	CAGL0F08679g	862341	862400	1	862341	862400
chr0J	95021	95080	+	CAGL0J00913g	95021	95080	1	95021	95080
chr0J	55048	55107	+	CAGL0J00605g	55048	55107	1	55048	55107
chr0J	360270	360329	+	CAGL0J03780	360270	360329	1	360270	360329
chr0I	795630	795689	+	CAGL0I08173r, CAGL0I08195g	795630	795689	1	795630	795689
chr0K	71437	71496	+	CAGL0K00627g	71437	71496	1	71437	71496
chr0B	71721	71780	+	CAGL0B00792g	71721	71780	1	71721	71780
chr0K	780398	780457	+	CAGL0K07832g	780398	780457	1	780398	780457
chr0M	303082	303141	+	CAGL0M02629g	303082	303141	1	303082	303141
chr0J	86722	86781	+	CAGL0J00803g	86722	86781	1	86722	86781
chr0F	48164	48223	+	CAGL0F00495g	48164	48223	1	48164	48223
chr0E	514833	514892	+	CAGL0E05302g	514833	514892	1	514833	514892
chr0K	734610	734669	+	CAGL0K07436g	734610	734669	1	734610	734669
chr0L	641280	641339	+	CAGL0L05808g, CAGL0L05830g	641280	641339	1	641280	641339
chr0B	453648	453707	+	CAGL0B04697g	453648	453707	1	453648	453707
chr0K	810399	810458	+	CAGL0K08162g	810399	810458	1	810399	810458
chr0E	534204	534263	+	CAGL0E05434g	534204	534263	1	534204	534263
chr0C	373559	373618	+	CAGL0C03740g, CAGL0C03762g	373559	373618	1	373559	373618
chr0G	804676	804735	+	CAGL0G08514r, CAGL0G08558g	804676	804735	1	804676	804735
chr0E	633963	634022	+	CAGL0E06292g	633963	634022	1	633963	634022
chr0M	1137648	1137707	+	CAGL0M11550g	1137648	1137707	1	1137648	1137707
chr0E	92073	92132	+	CAGL0E01001g	92073	92132	1	92073	92132
chr0H	764998	765057	+	CAGL0H07821g, CAGL0H07843g	764998	765057	1	764998	765057
chr0D	476630	476689	+	CAGL0D04884g	476630	476689	1	476630	476689
chr0I	759090	759149	+	CAGL0I07865g	759090	759149	1	759090	759149
chr0F	133521	133580	+	CAGL0F01265g	133521	133580	1	133521	133580
chr0L	427405	427464	+	CAGL0L03718g	427405	427464	1	427405	427464
chr0M	1134669	1134728	+	CAGL0M11506g	1134669	1134728	1	1134669	1134728
chr0F	238493	238552	+	CAGL0F02453g, CAGL0F02475g	238493	238552	1	238493	238552
chr0M	605364	605423	+	CAGL0M05665g, CAGL0M05687g	605364	605423	1	605364	605423
chr0C	243524	243583	+	CAGL0C02409g	243524	243583	1	243524	243583
chr0L	589636	589695	+	CAGL0L05302g	589636	589695	1	589636	589695
chr0J	244255	244314	+	CAGL0J02508g	244255	244314	1	244255	244314
chr0C	424150	424209	+	CAGL0C04367g, CAGL0C04389g	424150	424209	1	424150	424209
chr0L	1375300	1375359	+	CAGL0L12870g, CAGL0L12892g	1375300	1375359	1	1375300	1375359
chr0F	427157	427216	+	CAGL0F04301g	427157	427216	1	427157	427216
chr0E	320346	320405	+	CAGL0E03476g	320346	320405	1	320346	320405
chr0I	95067	95126	+	CAGL0I01122g, CAGL0I01144g	95067	95126	1	95067	95126
chr0H	536709	536768	+	CAGL0H05511g, CAGL0H05533g	536709	536768	1	536709	536768
chr0G	538044	538103	+	CAGL0G05632g, CAGL0G05654g	538044	538103	1	538044	538103
chr0K	613368	613427	+	CAGL0K06303g	613368	613427	1	613368	613427
chr0F	96673	96732	+	CAGL0F00891g, CAGL0F00913g	96673	96732	1	96673	96732
chr0J	600023	600082	+	CAGL0J06314g, CAGL0J06336g	600023	600082	1	600023	600082
chr0K	409550	409609	+	CAGL0K04345g	409550	409609	1	409550	409609
chr0K	21745	21804	+	CAGL0K00231g	21745	21804	1	21745	21804
chr0G	140235	140294	+	CAGL0G01474g	140235	140294	1	140235	140294
chr0H	384031	384090	+	CAGL0H04059g, CAGL0H04081g	384031	384090	1	384031	384090
chr0H	238811	238870	+	CAGL0H02651g	238811	238870	1	238811	238870
chr0I	669449	669508	+	CAGL0I06919g, CAGL0I06941g	669449	669508	1	669449	669508
chr0D	398899	398958	+	CAGL0D03982g, CAGL0D04004g	398899	398958	1	398899	398958
chr0K	106642	106701	+	CAGL0K01045g, CAGL0K01067g	106642	106701	1	106642	106701
chr0E	312449	312508	+	CAGL0E03355g, CAGL0E03377r	312449	312508	1	312449	312508
chr0M	1295586	1295645	+	CAGL0M13189g	1295586	1295645	1	1295586	1295645
chr0H	725409	725468	+	CAGL0H07425g	725409	725468	1	725409	725468
chr0J	973602	973661	+	CAGL0J09922g, CAGL0J09944g	973602	973661	1	973602	973661
chr0B	222472	222531	+	CAGL0B02343g	222472	222531	1	222472	222531
chr0I	434022	434081	+	CAGL0I04818g	434022	434081	1	434022	434081
chr0K	628714	628773	+	CAGL0K06413g	628714	628773	1	628714	628773
chr0L	1121828	1121887	+	CAGL0L10494g	1121828	1121887	1	1121828	1121887
chr0L	1430283	1430342	+	CAGL0L13310g, CAGL0L13332g	1430283	1430342	1	1430283	1430342
chr0F	870447	870506	+	CAGL0F08811g	870447	870506	1	870447	870506
chr0E	576807	576866	+	CAGL0E05808g	576807	576866	1	576807	576866
chr0L	1251526	1251585	+	CAGL0L11726g	1251526	1251585	1	1251526	1251585
chr0M	1071555	1071614	+	CAGL0M10725g	1071555	1071614	1	1071555	1071614
chr0E	187545	187604	+	CAGL0E01859g, CAGL0E01881g	187545	187604	1	187545	187604
chr0L	809233	809292	+	CAGL0L07326g	809233	809292	1	809233	809292
chr0D	590809	590868	+	CAGL0D06248r, CAGL0D06270g	590809	590868	1	590809	590868
chr0K	934595	934654	+	CAGL0K09460g	934595	934654	1	934595	934654
chr0L	1110056	1110115	+	CAGL0L10384g, CAGL0L10406g	1110056	1110115	1	1110056	1110115
chr0J	22191	22250	+	CAGL0J00297g	22191	22250	1	22191	22250
chr0J	1065741	1065800	+	CAGL0J10934g, CAGL0J10956g	1065741	1065800	1	1065741	1065800
chr0K	1287964	1288023	+	CAGL0K12980g, CAGL0K13002g	1287964	1288023	1	1287964	1288023
chr0C	76717	76776	+	CAGL0C00737g	76717	76776	1	76717	76776
chr0H	937056	937115	+	CAGL0H09570r, CAGL0H09592g	937056	937115	1	937056	937115
chr0D	498867	498926	+	CAGL0D05214g, CAGL0D05236g	498867	498926	1	498867	498926
chr0L	921828	921887	+	CAGL0L08360g, CAGL0L08382g	921828	921887	1	921828	921887
chr0F	398903	398962	+	CAGL0F04037g, CAGL0F04059g	398903	398962	1	398903	398962
chr0F	707738	707797	+	CAGL0F07271g	707738	707797	1	707738	707797
chr0B	65371	65430	+	CAGL0B00726g, CAGL0B00748g	65371	65430	1	65371	65430
chr0L	975904	975963	+	CAGL0L08932g, CAGL0L08954g	975904	975963	1	975904	975963
chr0D	625855	625914	+	CAGL0D06578g	625855	625914	1	625855	625914
chr0H	357571	357630	+	CAGL0H03795g	357571	357630	1	357571	357630
chr0J	238948	239007	+	CAGL0J02464g, CAGL0J02486g	238948	239007	1	238948	239007
chr0B	135798	135857	+	CAGL0B01507g	135798	135857	1	135798	135857
chr0E	580674	580733	+	CAGL0E05874g	580674	580733	1	580674	580733
chr0L	443271	443330	+	CAGL0L03846	443271	443330	1	443271	443330
chr0G	479433	479492	+	CAGL0G05027g, CAGL0G05049g	479433	479492	1	479433	479492
chr0H	661501	661560	+	CAGL0H06633g, CAGL0H06655g	661501	661560	1	661501	661560
chr0K	326122	326181	+	CAGL0K03509g	326122	326181	1	326122	326181
chr0J	928742	928801	+	CAGL0J09504g	928742	928801	1	928742	928801
chr0I	641706	641765	+	CAGL0I06600g, CAGL0I06622r	641706	641765	1	641706	641765
chr0J	2419	2478	+	CAGL0J00110g	2419	2478	1	2419	2478
chr0M	89186	89245	+	CAGL0M00770g	89186	89245	1	89186	89245
chr0J	97331	97390	+	CAGL0J00957g, CAGL0J00979r	97331	97390	1	97331	97390
chr0E	325259	325318	+	CAGL0E03520g	325259	325318	1	325259	325318
chr0L	124754	124813	+	CAGL0L01089g	124754	124813	1	124754	124813
chr0K	310788	310847	+	CAGL0K03399g	310788	310847	1	310788	310847
chr0M	515509	515568	+	CAGL0M04807g	515509	515568	1	515509	515568
chr0L	238994	239053	+	CAGL0L02035g	238994	239053	1	238994	239053
chr0J	888990	889049	+	CAGL0J09020g	888990	889049	1	888990	889049
chr0F	425910	425969	+	CAGL0F04279g, CAGL0F04301g	425910	425969	1	425910	425969
chr0L	1233966	1234025	+	CAGL0L11550g, CAGL0L11572g	1233966	1234025	1	1233966	1234025
chr0C	521307	521366	+	CAGL0C05445g, CAGL0C05467g	521307	521366	1	521307	521366
chr0H	438909	438968	+	CAGL0H04609g	438909	438968	1	438909	438968
chr0H	497922	497981	+	CAGL0H05137g, CAGL0H05159g	497922	497981	1	497922	497981
chr0L	433485	433544	+	CAGL0L03740g, CAGL0L03762g	433485	433544	1	433485	433544
chr0J	533301	533360	+	CAGL0J05610g	533301	533360	1	533301	533360
chr0G	843828	843887	+	CAGL0G08822g	843828	843887	1	843828	843887
chr0L	420629	420688	+	CAGL0L03674g	420629	420688	1	420629	420688
chr0D	376321	376380	+	CAGL0D03718g	376321	376380	1	376321	376380
chr0F	606809	606868	+	CAGL0F06061g, CAGL0F06083r	606809	606868	1	606809	606868
chr0L	220649	220708	+	CAGL0L01903g	220649	220708	1	220649	220708
chr0K	734036	734095	+	CAGL0K07414g	734036	734095	1	734036	734095
chr0L	711103	711162	+	CAGL0L06314g	711103	711162	1	711103	711162
chr0J	1147621	1147680	+	CAGL0J11770g, CAGL0J11792g	1147621	1147680	1	1147621	1147680
chr0A	98877	98936	+	CAGL0A00957g	98877	98936	1	98877	98936
chr0E	80767	80826	+	CAGL0E00869g	80767	80826	1	80767	80826
chr0F	496691	496750	+	CAGL0F04895g	496691	496750	1	496691	496750
chr0M	36226	36285	+	CAGL0M00286g	36226	36285	1	36226	36285
chr0A	421657	421716	+	CAGL0A04279g, CAGL0A04301g	421657	421716	1	421657	421716
chr0C	529301	529360	+	CAGL0C05489g	529301	529360	1	529301	529360
chr0G	628996	629055	+	CAGL0G06556g	628996	629055	1	628996	629055
chr0C	546558	546617	+	CAGL0C05599g, CAGL0C05621g	546558	546617	1	546558	546617
chr0F	655832	655891	+	CAGL0F06655g	655832	655891	1	655832	655891
chr0E	390871	390930	+	CAGL0E04070g	390871	390930	1	390871	390930
chr0L	393599	393658	+	CAGL0L03454g	393599	393658	1	393599	393658
chr0M	456333	456392	+	CAGL0M04147g	456333	456392	1	456333	456392
chr0I	684366	684425	+	CAGL0I07117g	684366	684425	1	684366	684425
chr0D	406791	406850	+	CAGL0D04092g, CAGL0D04114g	406791	406850	1	406791	406850
chr0F	464030	464089	+	CAGL0F04609g	464030	464089	1	464030	464089
chr0D	605833	605892	+	CAGL0D06424g	605833	605892	1	605833	605892
chr0I	830606	830665	+	CAGL0I08459g, CAGL0I08481g	830606	830665	1	830606	830665
chr0I	614455	614514	+	CAGL0I06358g	614455	614514	1	614455	614514
chr0I	954311	954370	+	CAGL0I10010g, CAGL0I10032r	954311	954370	1	954311	954370
chr0C	447778	447837	+	CAGL0C04785g	447778	447837	1	447778	447837
chr0I	1072320	1072379	+	CAGL0I10967g, CAGL0I10989g	1072320	1072379	1	1072320	1072379
chr0L	1304659	1304718	+	CAGL0L12144g	1304659	1304718	1	1304659	1304718
chr0J	1009239	1009298	+	CAGL0J10340g	1009239	1009298	1	1009239	1009298
chr0L	419939	419998	+	CAGL0L03652g	419939	419998	1	419939	419998
chr0M	1207697	1207756	+	CAGL0M12078g, CAGL0M12100g	1207697	1207756	1	1207697	1207756
chr0J	373043	373102	+	CAGL0J03938g, CAGL0J03960g	373043	373102	1	373043	373102
chr0I	1060813	1060872	+	CAGL0I10835g, CAGL0I10857r	1060813	1060872	1	1060813	1060872
chr0J	174062	174121	+	CAGL0J01804g	174062	174121	1	174062	174121
chr0C	389598	389657	+	CAGL0C03960g	389598	389657	1	389598	389657
chr0G	899741	899800	+	CAGL0G09449g	899741	899800	1	899741	899800
chr0J	959079	959138	+	CAGL0J09790g, CAGL0J09812g	959079	959138	1	959079	959138
chr0L	1335985	1336044	+	CAGL0L12364g, CAGL0L12386g	1335985	1336044	1	1335985	1336044
chr0E	504206	504265	+	CAGL0E05148g, CAGL0E05170g	504206	504265	1	504206	504265
chr0F	322726	322785	+	CAGL0F03267g	322726	322785	1	322726	322785
chr0H	984487	984546	+	CAGL0H10098g	984487	984546	1	984487	984546
chr0E	305518	305577	+	CAGL0E03289g, CAGL0E03311g	305518	305577	1	305518	305577
chr0J	764221	764280	+	CAGL0J07810g, CAGL0J07832g	764221	764280	1	764221	764280
chr0B	495924	495983	+	CAGL0B05049g, CAGL0B05071g	495924	495983	1	495924	495983
chr0L	477441	477500	+	CAGL0L04092g	477441	477500	1	477441	477500
chr0D	144038	144097	+	CAGL0D01276g, CAGL0D01298g	144038	144097	1	144038	144097
chr0D	9584	9643	+	CAGL0D00132g, CAGL0D00154g	9584	9643	1	9584	9643
chr0K	1215997	1216056	+	CAGL0K12452g	1215997	1216056	1	1215997	1216056
chr0H	209581	209640	+	CAGL0H02343g	209581	209640	1	209581	209640
chr0M	883661	883720	+	CAGL0M08844g	883661	883720	1	883661	883720
chr0F	775211	775270	+	CAGL0F07887g, CAGL0F07909g	775211	775270	1	775211	775270
chr0A	356200	356259	+	CAGL0A03542g	356200	356259	1	356200	356259
chr0H	797450	797509	+	CAGL0H08129g, CAGL0H08151g	797450	797509	1	797450	797509
chr0D	124210	124269	+	CAGL0D01056g	124210	124269	1	124210	124269
chr0K	948567	948626	+	CAGL0K09680g	948567	948626	1	948567	948626
chr0G	354849	354908	+	CAGL0G03685g	354849	354908	1	354849	354908
chr0E	326295	326354	+	CAGL0E03542g	326295	326354	1	326295	326354
chr0I	616975	617034	+	CAGL0I06380g	616975	617034	1	616975	617034
chr0B	387625	387684	+	CAGL0B03927g, CAGL0B03949g	387625	387684	1	387625	387684
chr0C	12547	12606	+	CAGL0C00209g	12547	12606	1	12547	12606
chr0K	264000	264059	+	CAGL0K02959g, CAGL0K02981g	264000	264059	1	264000	264059
chr0H	1016879	1016938	+	CAGL0H10428g	1016879	1016938	1	1016879	1016938
chr0G	444286	444345	+	CAGL0G04675g	444286	444345	1	444286	444345
chr0G	154770	154829	+	CAGL0G01694g	154770	154829	1	154770	154829
chr0G	127512	127571	+	CAGL0G01342g	127512	127571	1	127512	127571
chr0J	815283	815342	+	CAGL0J08228g	815283	815342	1	815283	815342
chr0I	995131	995190	+	CAGL0I10274g	995131	995190	1	995131	995190
chr0L	258359	258418	+	CAGL0L02211g	258359	258418	1	258359	258418
chr0H	788121	788180	+	CAGL0H08085g	788121	788180	1	788121	788180
chr0F	132135	132194	+	CAGL0F01265g	132135	132194	1	132135	132194
chr0C	98047	98106	+	CAGL0C00968g	98047	98106	1	98047	98106
chr0C	299092	299151	+	CAGL0C03025g	299092	299151	1	299092	299151
chr0F	369933	369992	+	CAGL0F03795g	369933	369992	1	369933	369992
chr0M	504063	504122	+	CAGL0M04609g	504063	504122	1	504063	504122
chr0E	116435	116494	+	CAGL0E01265g	116435	116494	1	116435	116494
chr0J	258847	258906	+	CAGL0J02618g	258847	258906	1	258847	258906
chr0K	907526	907585	+	CAGL0K09130g, CAGL0K09152g	907526	907585	1	907526	907585
chr0H	106370	106429	+	CAGL0H01155g	106370	106429	1	106370	106429
chr0C	557793	557852	+	CAGL0C05665g	557793	557852	1	557793	557852
chr0G	142042	142101	+	CAGL0G01496g	142042	142101	1	142042	142101
chr0D	210651	210710	+	CAGL0D02046g	210651	210710	1	210651	210710
chr0A	37023	37082	+	CAGL0A00363g, CAGL0A00385g	37023	37082	1	37023	37082
chr0F	219833	219892	+	CAGL0F02233g	219833	219892	1	219833	219892
chr0E	277494	277553	+	CAGL0E02915g	277494	277553	1	277494	277553
chr0J	787605	787664	+	CAGL0J08030g	787605	787664	1	787605	787664
chr0C	502913	502972	+	CAGL0C05269g	502913	502972	1	502913	502972
chr0L	1201978	1202037	+	CAGL0L11286g	1201978	1202037	1	1201978	1202037
chr0B	348878	348937	+	CAGL0B03487g, CAGL0B03509g	348878	348937	1	348878	348937
chr0K	1237837	1237896	+	CAGL0K12562g	1237837	1237896	1	1237837	1237896
chr0G	697418	697477	+	CAGL0G07359g	697418	697477	1	697418	697477
chr0I	697475	697534	+	CAGL0I07227g	697475	697534	1	697475	697534
chr0M	846416	846475	+	CAGL0M08470r, CAGL0M08492g	846416	846475	1	846416	846475
chr0J	30607	30666	+	CAGL0J00385g, CAGL0J00407g	30607	30666	1	30607	30666
chr0G	30736	30795	+	CAGL0G00286g, CAGL0G00308g	30736	30795	1	30736	30795
chr0E	436128	436187	+	CAGL0E04532g, CAGL0E04554g	436128	436187	1	436128	436187
chr0I	623152	623211	+	CAGL0I06446g	623152	623211	1	623152	623211
chr0B	10378	10437	+	CAGL0B00220g	10378	10437	1	10378	10437
chr0D	529194	529253	+	CAGL0D05544g	529194	529253	1	529194	529253
chr0J	786067	786126	+	CAGL0J08030g	786067	786126	1	786067	786126
chr0E	409722	409781	+	CAGL0E04290g	409722	409781	1	409722	409781
chr0E	544495	544554	+	CAGL0E05500g, CAGL0E05522g	544495	544554	1	544495	544554
chr0F	400615	400674	+	CAGL0F04037g, CAGL0F04059g	400615	400674	1	400615	400674
chr0K	452795	452854	+	CAGL0K04653g, CAGL0K04675g	452795	452854	1	452795	452854
chr0K	842485	842544	+	CAGL0K08360g	842485	842544	1	842485	842544
chr0I	198401	198460	+	CAGL0I02266g	198401	198460	1	198401	198460
chr0M	25872	25931	+	CAGL0M00176g, CAGL0M00198g	25872	25931	1	25872	25931
chr0M	689217	689276	+	CAGL0M06721g, CAGL0M06743r	689217	689276	1	689217	689276
chr0I	416919	416978	+	CAGL0I04664g	416919	416978	1	416919	416978
chr0D	250532	250591	+	CAGL0D02464g	250532	250591	1	250532	250591
chr0I	290261	290320	+	CAGL0I03410g	290261	290320	1	290261	290320
chr0M	595275	595334	+	CAGL0M05533g, CAGL0M05555r	595275	595334	1	595275	595334
chr0K	398526	398585	+	CAGL0K04279g, CAGL0K04301g	398526	398585	1	398526	398585
chr0M	26285	26344	+	CAGL0M00176g, CAGL0M00198g	26285	26344	1	26285	26344
chr0H	97446	97505	+	CAGL0H01001g, CAGL0H01023g	97446	97505	1	97446	97505
chr0I	241955	242014	+	CAGL0I02706g, CAGL0I02728g	241955	242014	1	241955	242014
chr0K	432716	432775	+	CAGL0K04565g	432716	432775	1	432716	432775
chr0H	719367	719426	+	CAGL0H07359g	719367	719426	1	719367	719426
chr0I	275138	275197	+	CAGL0I03190g, CAGL0I03212g	275138	275197	1	275138	275197
chr0E	254747	254806	+	CAGL0E02695g	254747	254806	1	254747	254806
chr0L	1438529	1438588	+	CAGL0L13354g	1438529	1438588	1	1438529	1438588
chr0M	1185795	1185854	+	CAGL0M11968g	1185795	1185854	1	1185795	1185854
chr0M	745078	745137	+	CAGL0M07381g	745078	745137	1	745078	745137
chr0J	726138	726197	+	CAGL0J07502g, CAGL0J07524g	726138	726197	1	726138	726197
chr0M	778171	778230	+	CAGL0M07722g, CAGL0M07744g	778171	778230	1	778171	778230
chr0M	598986	599045	+	CAGL0M05577g, CAGL0M05599g	598986	599045	1	598986	599045
chr0G	233994	234053	+	CAGL0G02541g	233994	234053	1	233994	234053
chr0M	234916	234975	+	CAGL0M01936g	234916	234975	1	234916	234975
chr0D	145057	145116	+	CAGL0D01298g	145057	145116	1	145057	145116
chr0I	22354	22413	+	CAGL0I00286g, CAGL0I00308g	22354	22413	1	22354	22413
chr0C	106747	106806	+	CAGL0C01089g	106747	106806	1	106747	106806
chr0A	134242	134301	+	CAGL0A01276g, CAGL0A01364g	134242	134301	1	134242	134301
chr0I	1852	1911	+	CAGL0I00110g	1852	1911	1	1852	1911
chr0B	177018	177077	+	CAGL0B01925g	177018	177077	1	177018	177077
chr0F	776564	776623	+	CAGL0F07887g, CAGL0F07909g	776564	776623	1	776564	776623
chr0K	932478	932537	+	CAGL0K09438g	932478	932537	1	932478	932537
chr0G	316096	316155	+	CAGL0G03311g	316096	316155	1	316096	316155
chr0C	67946	68005	+	CAGL0C00649g	67946	68005	1	67946	68005
chr0J	979627	979686	+	CAGL0J10010g	979627	979686	1	979627	979686
chr0J	441140	441199	+	CAGL0J04642g	441140	441199	1	441140	441199
chr0I	1027254	1027313	+	CAGL0I10494g	1027254	1027313	1	1027254	1027313
chr0K	1202747	1202806	+	CAGL0K12320g	1202747	1202806	1	1202747	1202806
chr0I	602635	602694	+	CAGL0I06248g	602635	602694	1	602635	602694
chr0A	429566	429625	+	CAGL0A04411g	429566	429625	1	429566	429625
chr0J	1069581	1069640	+	CAGL0J10956g, CAGL0J10978g	1069581	1069640	1	1069581	1069640
chr0M	1322273	1322332	+	CAGL0M13431g	1322273	1322332	1	1322273	1322332
chr0L	1361978	1362037	+	CAGL0L12672g, CAGL0L12694g	1361978	1362037	1	1361978	1362037
chr0J	382040	382099	+	CAGL0J04048g, CAGL0J04070g	382040	382099	1	382040	382099
chr0H	304403	304462	+	CAGL0H03245g	304403	304462	1	304403	304462
chr0B	275810	275869	+	CAGL0B02838g	275810	275869	1	275810	275869
chr0L	544993	545052	+	CAGL0L04774g	544993	545052	1	544993	545052
chr0F	904817	904876	+	CAGL0F09163g	904817	904876	1	904817	904876
chr0F	895995	896054	+	CAGL0F09075g	895995	896054	1	895995	896054
chr0L	650457	650516	+	CAGL0L05852g	650457	650516	1	650457	650516
chr0C	11886	11945	+	CAGL0C00209g	11886	11945	1	11886	11945
chr0K	445598	445657	+	CAGL0K04631g, CAGL0K04653g	445598	445657	1	445598	445657
chr0K	865917	865976	+	CAGL0K08580g	865917	865976	1	865917	865976
chr0C	382312	382371	+	CAGL0C03894g	382312	382371	1	382312	382371
chr0G	351113	351172	+	CAGL0G03619g	351113	351172	1	351113	351172
chr0M	1097919	1097978	+	CAGL0M11154g	1097919	1097978	1	1097919	1097978
chr0G	125483	125542	+	CAGL0G01320g, CAGL0G01342g	125483	125542	1	125483	125542
chr0D	330084	330143	+	CAGL0D03168g	330084	330143	1	330084	330143
chr0K	716583	716642	+	CAGL0K07271g, CAGL0K07293g	716583	716642	1	716583	716642
chr0H	383	442	+	CAGL0H00110g	383	442	1	383	442
chr0M	306074	306133	+	CAGL0M02651g, CAGL0M02673g	306074	306133	1	306074	306133
chr0K	1032925	1032984	+	CAGL0K10626g	1032925	1032984	1	1032925	1032984
chr0L	657288	657347	+	CAGL0L05874g	657288	657347	1	657288	657347
chr0B	334396	334455	+	CAGL0B03399g	334396	334455	1	334396	334455
chr0M	297892	297951	+	CAGL0M02585g	297892	297951	1	297892	297951
chr0K	772790	772849	+	CAGL0K07766g	772790	772849	1	772790	772849
chr0A	50977	51036	+	CAGL0A00451g, CAGL0A00473g	50977	51036	1	50977	51036
chr0M	999848	999907	+	CAGL0M10043g	999848	999907	1	999848	999907
chr0F	224745	224804	+	CAGL0F02277g	224745	224804	1	224745	224804
chr0E	437738	437797	+	CAGL0E04532g, CAGL0E04554g	437738	437797	1	437738	437797
chr0F	150104	150163	+	CAGL0F01463g	150104	150163	1	150104	150163
chr0A	350661	350720	+	CAGL0A03454g, CAGL0A03476g	350661	350720	1	350661	350720
chr0G	864276	864335	+	CAGL0G09042g, CAGL0G09064g	864276	864335	1	864276	864335
chr0H	324428	324487	+	CAGL0H03487g	324428	324487	1	324428	324487
chr0H	527473	527532	+	CAGL0H05445g	527473	527532	1	527473	527532
chr0M	360755	360814	+	CAGL0M03157g	360755	360814	1	360755	360814
chr0A	152143	152202	+	CAGL0A01540g, CAGL0A01562g	152143	152202	1	152143	152202
chr0L	1036222	1036281	+	CAGL0L09669g	1036222	1036281	1	1036222	1036281
chr0H	559333	559392	+	CAGL0H05621g, CAGL0H05643g	559333	559392	1	559333	559392
chr0J	396267	396326	+	CAGL0J04246g	396267	396326	1	396267	396326
chr0M	943270	943329	+	CAGL0M09493g	943270	943329	1	943270	943329
chr0I	959669	959728	+	CAGL0I10098g	959669	959728	1	959669	959728
chr0D	17118	17177	+	CAGL0D00154g	17118	17177	1	17118	17177
chr0K	208212	208271	+	CAGL0K02321g	208212	208271	1	208212	208271
chr0F	109972	110031	+	CAGL0F01023g, CAGL0F01045g	109972	110031	1	109972	110031
chr0H	642465	642524	+	CAGL0H06523g	642465	642524	1	642465	642524
chr0M	1305927	1305986	+	CAGL0M13255g, CAGL0M13277g	1305927	1305986	1	1305927	1305986
chr0J	270105	270164	+	CAGL0J02728g, CAGL0J02750g	270105	270164	1	270105	270164
chr0G	252681	252740	+	CAGL0G02739g	252681	252740	1	252681	252740
chr0M	1093087	1093146	+	CAGL0M11066g, CAGL0M11088g	1093087	1093146	1	1093087	1093146
chr0G	715415	715474	+	CAGL0G07557g	715415	715474	1	715415	715474
chr0M	257257	257316	+	CAGL0M02123g, CAGL0M02145g	257257	257316	1	257257	257316
chr0G	128014	128073	+	CAGL0G01342g	128014	128073	1	128014	128073
chr0B	202589	202648	+	CAGL0B02189g	202589	202648	1	202589	202648
chr0L	340604	340663	+	CAGL0L02893g, CAGL0L02915g	340604	340663	1	340604	340663
chr0F	229705	229764	+	CAGL0F02387g	229705	229764	1	229705	229764
chr0F	279573	279632	+	CAGL0F02893g	279573	279632	1	279573	279632
chr0L	1282786	1282845	+	CAGL0L11946g	1282786	1282845	1	1282786	1282845
chr0H	120811	120870	+	CAGL0H01243g, CAGL0H01265g	120811	120870	1	120811	120870
chr0I	269751	269810	+	CAGL0I03102g	269751	269810	1	269751	269810
chr0K	682531	682590	+	CAGL0K06985g	682531	682590	1	682531	682590
