SEQ_NAME	START	END	REP1	REP2	REP3
chr0C	492067	492126	-0.0248	0.0108	-0.0276	
chr0C	492339	492398	-0.0228	-0.05	0.1044	
chr0C	492546	492605	0.1115	-0.0461	0.1455	
chr0C	492863	492922	-0.0131	-0.0262	0.0566	
chr0C	493186	493245	0.1061	0.0734	0.0237	
chr0C	493468	493527	0.0509	0.4594	-0.0844	
chr0C	493646	493705	-0.0844	-0.0884	-0.0601	
chr0C	494	553	0.0803	0.075	0.0265	
chr0C	494037	494096	0.0272	-0.0103	-0.0235	
chr0C	49406	49465	-0.1904	-0.0338	-0.0067	
chr0C	494231	494290	0	-0.0633	-0.004	
chr0C	494520	494579	-0.0295	0.0196	-0.0322	
chr0C	494843	494902	-0.0413	0.0438	-0.0469	
chr0C	495170	495229	-0.1187	-0.0218	-0.1361	
chr0C	495320	495379	0.014	0.0466	-0.036	
chr0C	495769	495828	-0.1744	-0.1537	-0.0847	
chr0C	495862	495921	-0.095	-0.1727	-0.2171	
chr0C	496452	496511	0.0796	0.0385	0.0228	
chr0C	496657	496716	-0.0147	-0.0501	-0.0877	
chr0C	49681	49740	-0.095	-0.0266	0.0447	
chr0C	497001	497060	-0.1223	-0.0814	-0.1758	
chr0C	497271	497330	-0.0439	0.0475	-0.0255	
chr0C	497615	497674	-0.1229	-0.0376	-0.0171	
chr0C	497769	497828	-0.1703	-0.0882	-0.0885	
chr0C	498227	498286	-0.0637	-0.033	0.0043	
chr0C	498351	498410	-0.0292	-0.0366	0.1084	
chr0C	498743	498802	0.0167	0.1098	-0.005	
chr0C	499129	499188	-0.1131	-0.1054	-0.0798	
chr0C	499414	499473	-0.1299	-0.1724	-0.1109	
chr0C	499668	499727	-0.0606	-0.1005	0.0187	
chr0C	499816	499875	-0.1904	-0.097	-0.1118	
chr0C	500200	500259	-0.0682	-0.0039	-0.071	
chr0C	500489	500548	-0.1849	-0.1276	-0.0311	
chr0C	500697	500756	0.1211	0.0564	0.1036	
chr0C	50074	50133	-0.0642	0	-0.0684	
chr0C	501153	501212	-0.0843	-0.0886	-0.034	
chr0C	501317	501376	0.0185	-0.0128	-0.0192	
chr0C	501646	501705	-0.0953	-0.0993	-0.0164	
chr0C	501915	501974	-0.031	-0.0013	0.0768	
chr0C	502055	502114	-0.0251	-0.018	-0.1269	
chr0C	502462	502521	-0.0619	0.0394	0	
chr0C	502565	502624	-0.1909	-0.0253	0.0624	
chr0C	502913	502972	-0.029	0.0385	-0.0006	
chr0C	503120	503179	-0.1379	-0.0684	-0.0145	
chr0C	503533	503592	-0.0812	-0.0196	0.0246	
chr0C	5036	5095	0.4098	0.3495	0.1589	
chr0C	503646	503705	-0.0933	-0.091	-0.0312	
chr0C	503964	504023	-0.1366	-0.2005	-0.1455	
chr0C	504363	504422	-0.2139	-0.1451	-0.0795	
chr0C	504584	504643	-0.1246	-0.0605	-0.0736	
chr0C	504939	504998	-0.1418	-0.188	-0.0505	
chr0C	50513	50572	-0.02	-0.0159	-0.092	
chr0C	505326	505385	-0.1076	-0.0474	-0.0581	
chr0C	505618	505677	0.0372	-0.0096	0.0009	
chr0C	505722	505781	-0.1906	-0.1841	-0.1599	
chr0C	506085	506144	-0.0422	-0.0894	-0.0166	
chr0C	506483	506542	-0.1586	-0.173	0.0006	
chr0C	506712	506771	-0.174	-0.1947	-0.0876	
chr0C	506851	506910	0.0097	0.0071	0.0556	
chr0C	507292	507351	-0.0987	-0.0244	0.008	
chr0C	507463	507522	-0.1521	-0.0167	-0.0009	
chr0C	50751	50810	-0.0335	0.0172	0.0014	
chr0C	507755	507814	-0.0894	0.1336	0.0178	
chr0C	507949	508008	-0.1427	-0.0366	0.1259	
chr0C	508377	508436	-0.0883	0.1002	-0.0349	
chr0C	508622	508681	-0.005	0.0697	0.0582	
chr0C	508824	508883	-0.0509	0	-0.0912	
chr0C	509062	509121	0.0982	0.0619	0.0054	
chr0C	50929	50988	-0.1189	-0.0504	-0.0204	
chr0C	509398	509457	-0.072	-0.0306	-0.0313	
chr0C	509738	509797	0.1447	0.0646	0.1014	
chr0C	509830	509889	0.0722	0.0008	0.0019	
chr0C	510222	510281	-0.0058	-0.0471	0.043	
chr0C	510550	510609	-0.1	-0.1473	0.0067	
chr0C	511016	511075	0	0.0516	-0.0005	
chr0C	511221	511280	-0.0813	0.0505	0.0061	
chr0C	511396	511455	-0.1291	-0.0951	-0.1883	
chr0C	511813	511872	-0.0541	0.0341	0.0142	
chr0C	512009	512068	-0.0135	0.0478	-0.0768	
chr0C	512397	512456	0.2469	0.1922	0.0043	
chr0C	51244	51303	-0.086	-0.0573	-0.0121	
chr0C	512595	512654	0.1378	0.1772	0.045	
chr0C	512921	512980	0.1746	0.1212	0.044	
chr0C	513264	513323	0.0718	-0.0028	-0.0272	
chr0C	513565	513624	0.1663	0.0644	0.1404	
chr0C	513908	513967	0.0892	-0.0231	-0.0292	
chr0C	514251	514310	0.0734	0.0848	0.0169	
chr0C	514549	514608	0.0087	-0.051	-0.0002	
chr0C	514834	514893	-0.1288	-0.1292	0.2147	
chr0C	515235	515294	-0.2253	-0.2077	-0.218	
chr0C	515352	515411	-0.1395	-0.1773	-0.1703	
chr0C	51536	51595	-0.1642	-0.129	-0.1733	
chr0C	515794	515853	-0.1221	-0.1163	-0.234	
chr0C	516033	516092	-0.2754	-0.3237	-0.0438	
chr0C	516254	516313	-0.0682	-0.1236	0.0269	
chr0C	516585	516644	-0.1158	-0.1079	-0.062	
chr0C	517009	517068	-0.0464	-0.1009	-0.0321	
chr0C	517202	517261	-0.0223	-0.0621	0.0394	
chr0C	517472	517531	0.0319	-0.0509	0.0223	
chr0C	517782	517841	-0.0647	-0.0126	0.0561	
chr0C	517958	518017	-0.0118	-0.1026	0.0409	
chr0C	518222	518281	-0.0438	-0.0291	-0.0165	
chr0C	51848	51907	-0.1494	-0.1037	0.0031	
chr0C	518561	518620	-0.103	-0.0307	-0.0488	
chr0C	518951	519010	-0.1951	-0.219	-0.0893	
chr0C	519178	519237	-0.1123	-0.1219	-0.0737	
chr0C	519632	519691	-0.1	-0.0147	-0.0448	
chr0C	519797	519856	0.0686	0.1137	0.1065	
chr0C	520093	520152	-0.2096	-0.157	-0.1432	
chr0C	520379	520438	-0.125	-0.102	-0.1796	
chr0C	520762	520821	-0.1261	-0.1341	0.0591	
chr0C	520970	521029	-0.1319	-0.1615	-0.0927	
chr0C	52108	52167	0.6719	0.779	0.3035	
chr0C	521307	521366	-0.1844	-0.2209	-0.2902	
chr0C	521569	521628	-0.0081	-0.0993	-0.0278	
chr0C	521908	521967	-0.0306	0	-0.0516	
chr0C	522104	522163	-0.2145	-0.1628	-0.0021	
chr0C	522304	522363	-0.1793	-0.1464	-0.1221	
chr0C	522609	522668	-0.1805	-0.067	-0.1466	
chr0C	522898	522957	-0.1531	-0.2079	0.0312	
chr0C	523119	523178	-0.1731	-0.262	-0.0218	
chr0C	523472	523531	-0.1685	-0.1094	-0.0122	
chr0C	523877	523936	-0.0737	-0.0794	0.0429	
chr0C	523981	524040	-0.0789	-0.0844	0.0344	
chr0C	52408	52467	-0.0621	0.0734	-0.0163	
chr0C	524354	524413	-0.1192	-0.1693	0.04	
chr0C	524766	524825	-0.2047	-0.1176	0.0079	
chr0C	524975	525034	-0.2101	-0.1688	-0.1278	
chr0C	525183	525242	-0.2457	-0.2706	-0.0589	
chr0C	525553	525612	0.071	0.061	-0.0574	
chr0C	525858	525917	0.136	0.1135	0.0401	
chr0C	526198	526257	0.0553	-0.0323	0.0731	
chr0C	526330	526389	0.1034	0.1872	0.0349	
chr0C	526715	526774	-0.1174	-0.2339	-0.0348	
chr0C	527091	527150	0.0002	-0.0983	-0.0195	
chr0C	527228	527287	-0.0415	-0.1172	-0.0029	
chr0C	527621	527680	-0.0152	-0.0841	0.0478	
chr0C	527758	527817	-0.0221	-0.0903	0.1188	
chr0C	528251	528310	-0.1305	-0.1915	-0.0115	
chr0C	528447	528506	-0.0202	-0.0537	-0.0673	
chr0C	52852	52911	-0.0094	-0.0563	0.0085	
chr0C	528803	528862	-0.0793	-0.0968	-0.036	
chr0C	529071	529130	0.0811	0.0677	0.0699	
chr0C	529301	529360	-0.0573	-0.0383	-0.085	
chr0C	529551	529610	-0.111	-0.0322	0.012	
chr0C	529938	529997	-0.0894	0.0621	0.0871	
chr0C	530037	530096	-0.0251	0.0164	0.1258	
chr0C	530295	530354	-0.0729	-0.0918	-0.0529	
chr0C	530636	530695	-0.2038	-0.2982	-0.1312	
chr0C	530885	530944	-0.0539	-0.0496	-0.1133	
chr0C	531133	531192	0.0317	0.0044	-0.0084	
chr0C	531383	531442	0.0416	0.0215	-0.04	
chr0C	531845	531904	-0.049	-0.1251	-0.018	
chr0C	531963	532022	-0.0398	-0.0341	0.0914	
chr0C	532341	532400	-0.1036	-0.1012	-0.0872	
chr0C	53284	53343	-0.0225	-0.1822	-0.0687	
chr0C	532870	532929	-0.0456	0.0241	0.0348	
chr0C	533036	533095	-0.0707	-0.0001	0.0016	
chr0C	533324	533383	-0.0273	0.0341	-0.007	
chr0C	533787	533846	-0.1162	0.0059	0.2325	
chr0C	534062	534121	0.044	0.1131	0.022	
chr0C	534239	534298	-0.0367	0.0643	-0.0315	
chr0C	534616	534675	-0.1242	-0.0541	-0.0785	
chr0C	534724	534783	-0.1622	-0.0982	0.0212	
chr0C	535042	535101	-0.0886	-0.0746	-0.0414	
chr0C	535387	535446	-0.1191	-0.0185	-0.0135	
chr0C	535762	535821	-0.0403	-0.0364	-0.0273	
chr0C	535889	535948	0.1481	0.2218	-0.1436	
chr0C	536166	536225	-0.2154	-0.2021	-0.0875	
chr0C	536480	536539	-0.103	-0.1664	-0.042	
chr0C	536850	536909	-0.0345	-0.1	0.0007	
chr0C	537148	537207	0.284	0.3536	0.1264	
chr0C	537432	537491	-0.2067	-0.2163	0.0132	
chr0C	53745	53804	0.1116	-0.0247	0.0456	
chr0C	537805	537864	-0.0699	-0.0946	-0.0589	
chr0C	538191	538250	-0.0057	0.0743	-0.0076	
chr0C	538375	538434	0.0602	0.183	-0.0039	
chr0C	538460	538519	0.0561	0.2118	0.0402	
chr0C	538801	538860	-0.1695	-0.1278	-0.0568	
chr0C	539245	539304	-0.0391	0.038	-0.0859	
chr0C	539339	539398	0.107	0.1391	0.0685	
chr0C	539630	539689	-0.17	-0.0967	-0.1392	
chr0C	5397	5456	0.3841	0.3386	0.0777	
chr0C	53988	54047	0.1432	-0.045	0.018	
chr0C	539977	540036	-0.1358	0.073	0.0167	
chr0C	540224	540283	-0.0205	0.1099	0.1264	
chr0C	540655	540714	-0.0181	0.0394	-0.0408	
chr0C	540892	540951	-0.0531	-0.075	-0.029	
chr0C	541044	541103	-0.0536	-0.0601	-0.1244	
chr0C	541364	541423	-0.0412	-0.0587	-0.1894	
chr0C	541655	541714	-0.1072	-0.1171	-0.0565	
chr0C	541898	541957	-0.1002	-0.1276	0.0292	
chr0C	542164	542223	-0.0333	-0.1309	-0.0474	
chr0C	542528	542587	-0.0811	-0.1394	-0.0098	
chr0C	54254	54313	0.043	-0.0635	0.0151	
chr0C	542728	542787	-0.0138	0.0159	0.0045	
chr0C	543121	543180	-0.0378	-0.0662	-0.1294	
chr0C	543400	543459	-0.049	-0.0723	-0.064	
chr0C	543673	543732	0.0471	-0.0345	-0.0923	
chr0C	543940	543999	0.0553	0.0082	-0.0623	
chr0C	544416	544475	0.2376	0.0542	-0.0651	
chr0C	54450	54509	0.0474	0.0045	0.0144	
chr0C	544579	544638	0.1375	0.0141	-0.0382	
chr0C	544844	544903	0.0653	-0.002	0.0141	
chr0C	545066	545125	0.1995	0.0589	0.0157	
chr0C	545501	545560	-0.0384	-0.1019	0.0574	
chr0C	545845	545904	-0.1209	-0.1479	0.0667	
chr0C	546169	546228	0.031	-0.1071	-0.0421	
chr0C	546241	546300	0.0598	-0.0057	-0.0132	
chr0C	546558	546617	-0.0681	-0.1081	-0.0502	
chr0C	546983	547042	-0.0308	-0.1002	0.0667	
chr0C	547138	547197	-0.074	-0.0988	-0.0433	
chr0C	54722	54781	-0.1574	-0.105	-0.0649	
chr0C	547529	547588	-0.0424	-0.0591	-0.0998	
chr0C	547745	547804	-0.0484	0.0141	-0.0007	
chr0C	548056	548115	-0.0303	-0.04	0.0448	
chr0C	548283	548342	-0.031	-0.0421	0.0199	
chr0C	548768	548827	0.1215	0.1641	-0.0777	
chr0C	548911	548970	-0.0209	-0.0395	-0.1119	
chr0C	549172	549231	-0.0554	-0.019	0.016	
chr0C	549550	549609	0.0607	-0.1146	-0.0351	
chr0C	549876	549935	0.0558	-0.005	-0.0818	
chr0C	550106	550165	0.0527	0.0242	0.0053	
chr0C	550534	550593	0.0086	-0.0622	-0.0257	
chr0C	55062	55121	-0.0858	-0.1217	0.04	
chr0C	550835	550894	0.1289	0.1366	0.0102	
chr0C	551070	551129	0.1921	0.1518	0.0099	
chr0C	551331	551390	0.2476	0.2135	-0.0377	
chr0C	551507	551566	0.3099	0.2557	0.0057	
chr0C	551809	551868	0.1426	0.201	-0.0316	
chr0C	552243	552302	0.2097	0.2216	0.084	
chr0C	552505	552564	0.2414	0.1482	0.0803	
chr0C	552843	552902	0.3604	0.2029	0.1215	
chr0C	552949	553008	0.3321	0.2379	0.0436	
chr0C	55318	55377	-0.0143	-0.0327	-0.0488	
chr0C	553415	553474	0.4182	0.3515	0.2329	
chr0C	553585	553644	0.371	0.3971	0.0124	
chr0C	5540	5599	0.3735	0.3371	-0.0125	
chr0C	554102	554161	0.4443	0.4898	0.1718	
chr0C	554352	554411	0.3226	0.3342	0.1435	
chr0C	554506	554565	0.3858	0.3603	0.0369	
chr0C	554860	554919	0.4512	0.3674	0.0406	
chr0C	555146	555205	0.3111	0.2255	0.0897	
chr0C	555493	555552	0.1629	0.1149	-0.0097	
chr0C	555640	555699	0.0994	0.081	0.1519	
chr0C	555995	556054	0.2281	0.1653	0.0453	
chr0C	556196	556255	0.0472	0.0077	-0.0471	
chr0C	556484	556543	0.1492	0.0891	-0.0671	
chr0C	556888	556947	0.0199	0.1527	-0.0061	
chr0C	557215	557274	0.1145	0.2133	-0.02	
chr0C	55734	55793	-0.0341	-0.078	-0.0699	
chr0C	557559	557618	0.1295	0.1606	0.1526	
chr0C	557793	557852	0.2041	0.1186	0.0486	
chr0C	558092	558151	0.3092	0.1979	0.0159	
chr0C	558398	558457	0.0137	-0.0676	-0.1318	
chr0C	558708	558767	0.0606	0.0498	-0.0546	
chr0C	55938	55997	-0.1475	-0.1755	-0.057	
chr0C	56322	56381	0.1183	0.2119	0.0699	
chr0C	56483	56542	0.1492	0.2166	0.1045	
chr0C	56768	56827	0.1229	0.1479	-0.0166	
chr0C	57045	57104	0	0.0792	0.2153	
chr0C	57341	57400	0.1122	0.1101	0.1095	
chr0C	57639	57698	0.1607	0.1288	0.015	
chr0C	57954	58013	0.1775	0.1368	-0.012	
chr0C	58242	58301	0.1138	0.1274	0.0058	
chr0C	58564	58623	0.0279	0.0366	0.0824	
chr0C	58821	58880	0.0696	0.0012	-0.0289	
chr0C	58931	58990	0.0946	0.0732	-0.095	
chr0C	59348	59407	0.0141	-0.036	-0.0015	
chr0C	59581	59640	-0.0406	-0.0713	-0.0949	
chr0C	5987	6046	0.3693	0.3264	0.0719	
chr0C	60038	60097	-0.1603	-0.2099	0.0092	
chr0C	60232	60291	-0.0975	-0.1125	-0.0903	
chr0C	60568	60627	-0.0633	0	0.0493	
chr0C	60827	60886	-0.1315	-0.0929	-0.1128	
chr0C	61075	61134	-0.2392	-0.1527	-0.0423	
chr0C	6129	6188	0.5381	0.5366	0.0186	
chr0C	61416	61475	-0.1627	-0.098	-0.1018	
chr0C	61692	61751	-0.1573	0.0086	0.0102	
chr0C	62095	62154	-0.0051	0.0252	0.0441	
chr0C	62356	62415	-0.0041	0.0197	0.1007	
chr0C	62725	62784	-0.056	-0.111	0.0345	
chr0C	63013	63072	-0.0822	-0.0956	0.0013	
chr0C	63223	63282	-0.0328	-0.0449	0.08	
chr0C	63456	63515	-0.071	-0.0358	-0.1597	
chr0C	63733	63792	-0.045	0	0.0173	
chr0C	63971	64030	-0.1618	-0.1747	0	
chr0C	64286	64345	-0.0426	-0.1132	0.058	
chr0C	64715	64774	-0.0065	-0.0514	-0.0139	
chr0C	65028	65087	-0.1638	-0.2125	0.0224	
chr0C	65282	65341	-0.1152	-0.158	-0.1073	
chr0C	654	713	-0.0192	0.0379	-0.0694	
chr0C	65413	65472	-0.09	-0.2257	-0.186	
chr0C	6568	6627	0.2878	0.2319	0	
chr0C	65862	65921	0	-0.0939	0.0869	
chr0C	66018	66077	-0.0015	-0.0911	-0.056	
chr0C	66304	66363	0.0967	0.0197	0.097	
chr0C	66628	66687	-0.0267	-0.0565	-0.0077	
chr0C	6666	6725	0.391	0.2639	0.0627	
chr0C	66849	66908	0.0625	-0.0068	0.0387	
chr0C	67071	67130	-0.0191	-0.001	-0.0292	
chr0C	67290	67349	-0.129	-0.0894	-0.1135	
chr0C	67771	67830	0.0857	0.1382	0.0284	
chr0C	67946	68005	0.094	0.1902	0.0721	
chr0C	68337	68396	0.0695	0.024	-0.0584	
chr0C	68632	68691	0.0406	-0.0441	0.1182	
chr0C	68829	68888	0.1218	0.0374	0.0508	
chr0C	69204	69263	0.0333	-0.0395	0.1516	
chr0C	69549	69608	0.0661	0.0328	0.1139	
chr0C	69761	69820	0.0671	0.0443	0.0796	
chr0C	7009	7068	0.396	0.2819	0.1267	
chr0C	70136	70195	0.0601	0.0526	0.1297	
chr0C	70299	70358	0.1484	0.1972	0.0508	
chr0C	70693	70752	0.1683	0.2181	0.0298	
chr0C	70872	70931	0.0738	0.0968	0.1448	
chr0C	71064	71123	0.1064	0.1262	0.128	
chr0C	71343	71402	0.1415	0.1999	0.1206	
chr0C	71716	71775	-0.109	-0.2224	0.0958	
chr0C	71973	72032	0.2785	0.2531	0.1146	
chr0C	72200	72259	0.1001	0.1783	0.0289	
chr0C	72425	72484	0.4396	0.5704	0.0717	
chr0C	7275	7334	0.2173	0.24	0.0079	
chr0C	72857	72916	0.183	0.2755	0.1397	
chr0C	73222	73281	0.0032	0.0459	0.0223	
chr0C	73417	73476	0.0328	0.0322	0.0313	
chr0C	73731	73790	0.0323	0.0954	-0.1283	
chr0C	74028	74087	-0.1285	-0.1691	-0.0102	
chr0C	74225	74284	-0.0088	-0.0208	0.009	
chr0C	74608	74667	-0.0281	0	0	
chr0C	74804	74863	-0.0862	-0.0897	-0.0994	
chr0C	75065	75124	-0.0299	-0.0298	0.0468	
chr0C	75359	75418	-0.0669	-0.0918	-0.0938	
chr0C	75845	75904	-0.0063	0.0402	0.1188	
chr0C	76160	76219	-0.157	-0.024	-0.094	
chr0C	76456	76515	-0.2106	-0.1384	-0.131	
chr0C	76717	76776	-0.1765	-0.0691	-0.0749	
chr0C	76969	77028	-0.2005	-0.0524	-0.0442	
chr0C	7706	7765	0.1595	0.2698	0.1197	
chr0C	77257	77316	-0.022	0.0468	0.0856	
chr0C	77510	77569	0.1573	0.2709	0.0834	
chr0C	77799	77858	0.1187	0.1476	0.0097	
chr0C	78290	78349	-0.1094	-0.004	-0.0107	
chr0C	78372	78431	-0.2185	-0.1076	-0.0308	
chr0C	78720	78779	-0.1574	0.0355	0.0523	
chr0C	79141	79200	-0.0222	0.0432	-0.0263	
chr0C	79350	79409	-0.0928	-0.025	0.0123	
chr0C	79667	79726	-0.0297	0.0572	0.0082	
chr0C	79967	80026	-0.0262	0.0667	0.2204	
chr0C	8007	8066	0.3471	0.2923	0.0298	
chr0C	80325	80384	-0.0151	-0.1348	-0.0128	
chr0C	80625	80684	0.0221	-0.009	-0.0002	
chr0C	80932	80991	0.1145	0.0828	-0.0533	
chr0C	81312	81371	-0.0473	0.0525	-0.0031	
chr0C	81417	81476	-0.1626	-0.1844	-0.043	
chr0C	81766	81825	0.0753	0.0826	0.2864	
chr0C	8185	8244	0.1432	0.0929	-0.0191	
chr0C	81935	81994	0.2005	0.1115	0.1956	
chr0C	82208	82267	0.2901	0.2288	0.0691	
chr0C	82625	82684	0.0864	0.1475	0.0421	
chr0C	82714	82773	0.3766	0.493	0.258	
chr0C	83007	83066	0.2456	0.2547	0.0657	
chr0C	83255	83314	0.2278	0.1912	0.1077	
chr0C	83567	83626	0.1027	0.1451	0.1646	
chr0C	83989	84048	0.2136	0.1046	0.1586	
chr0C	84175	84234	0.3028	0.2572	0.0914	
chr0C	84356	84415	0.2075	0.0395	0.2071	
chr0C	8451	8510	0.1149	0.0603	0.0311	
chr0C	84685	84744	0.208	0.0941	0.1705	
chr0C	84990	85049	0.2815	0.2222	0.1761	
chr0C	85471	85530	0.0686	0.1044	0.1273	
chr0C	85656	85715	-0.037	0.0106	-0.1165	
chr0C	85989	86048	-0.1828	-0.112	-0.0702	
chr0C	86332	86391	-0.1316	-0.029	-0.0017	
chr0C	86486	86545	-0.0345	0.0365	0.0546	
chr0C	86803	86862	-0.1151	-0.1509	-0.0474	
chr0C	8694	8753	0.1706	0.1643	0.001	
chr0C	87021	87080	-0.246	-0.241	-0.2774	
chr0C	87817	87876	0.1415	0.1135	0.0377	
chr0C	88071	88130	-0.0079	0.0898	0.08	
chr0C	88390	88449	0.0481	0.0214	0.0834	
chr0C	88594	88653	0.0287	0.0487	0.1028	
chr0C	88980	89039	-0.0062	-0.0482	-0.1395	
chr0C	89328	89387	0.1747	0	0.0128	
chr0C	89666	89725	0.1089	-0.0208	-0.0549	
chr0C	8988	9047	0.1115	0.0911	0.0106	
chr0C	90097	90156	0.1703	0.0874	0.0809	
chr0C	90163	90222	0.1563	0.1028	0.0575	
chr0C	90563	90622	0.0778	0.0732	-0.0132	
chr0C	90750	90809	-0.1019	-0.1499	-0.0546	
chr0C	91099	91158	0.132	0.1837	0.0365	
chr0C	91567	91626	0.1078	0.12	0.0484	
chr0C	91803	91862	0.1119	0.1263	0.0607	
chr0C	91977	92036	0.2642	0.231	0.1492	
chr0C	92	151	0.2518	0.2623	-0.0485	
chr0C	92371	92430	0.0819	0.1152	0.2405	
chr0C	92696	92755	0.0798	0.1371	0.1973	
chr0C	92958	93017	0.2221	0.1109	0.262	
chr0C	93211	93270	0.2588	0.1407	0.1323	
chr0C	93629	93688	0.2312	0.1226	0.0949	
chr0C	93922	93981	0.2671	0.209	0.1212	
chr0C	9399	9458	0.0358	0.0083	0.018	
chr0C	94013	94072	0.328	0.3083	-0.002	
chr0C	94497	94556	0.1583	0.1407	0.2317	
chr0C	94754	94813	0.1787	0.1352	0.0538	
chr0C	94904	94963	-0.0031	-0.0054	0.0617	
chr0C	95349	95408	0.0664	0.0124	0.0466	
chr0C	95662	95721	0.1048	0.0713	0.1372	
chr0C	95856	95915	0.1665	0.1359	0.0209	
chr0C	9608	9667	0.0041	-0.0168	-0.0335	
chr0C	96149	96208	0.2019	0.2089	0.4405	
chr0C	96523	96582	0.0479	0.0295	0.0185	
chr0C	96641	96700	0.1751	0.1673	-0.0097	
chr0C	97086	97145	-0.0838	-0.044	-0.0825	
chr0C	97196	97255	-0.1424	-0.0798	0.0385	
chr0C	97619	97678	-0.0935	-0.0559	-0.0448	
chr0C	97808	97867	-0.1203	-0.0839	-0.112	
chr0C	98047	98106	-0.0527	0.091	-0.0152	
chr0C	98417	98476	0.0484	0.0043	0.0582	
chr0C	98709	98768	0.106	0.1417	0.0397	
chr0C	98910	98969	0.122	0.2086	0.0288	
chr0C	99302	99361	0.0795	0.1221	-0.0025	
chr0C	99495	99554	0.0465	0.0467	0.1707	
chr0C	9967	10026	0.0561	-0.0728	-0.0071	
chr0C	99743	99802	0.0498	0.0786	0.1693	
chr0D	100127	100186	0.0143	0.0444	0.0599	
chr0D	100419	100478	0.0181	-0.0892	0.0419	
chr0D	100864	100923	-0.1688	-0.2221	-0.0715	
chr0D	100976	101035	-0.05	-0.0237	-0.0246	
chr0D	10099	10158	-0.1633	-0.1331	-0.0175	
chr0D	101396	101455	0.0284	0.1225	0.0392	
chr0D	101597	101656	-0.0004	0.0834	-0.0564	
chr0D	101879	101938	-0.0387	-0.0114	-0.0394	
chr0D	102160	102219	0.0757	0.0492	-0.0273	
chr0D	102357	102416	0.0067	-0.0544	-0.1032	
chr0D	102676	102735	0.1337	0.0835	-0.0489	
chr0D	102808	102867	0.1321	0.0039	-0.0177	
chr0D	103240	103299	0.2504	0.1902	0.0703	
chr0D	103455	103514	0.2162	0.1811	0.0205	
chr0D	103772	103831	0.0883	0.1167	-0.012	
chr0D	104067	104126	-0.0071	0.0019	0.0872	
chr0D	104333	104392	-0.0633	-0.0387	-0.0949	
chr0D	104676	104735	-0.0932	-0.0069	-0.0077	
chr0D	10480	10539	-0.1638	-0.0131	-0.0299	
chr0D	104874	104933	-0.0551	0.0433	-0.0179	
chr0D	105118	105177	-0.0699	0.0693	0.0553	
chr0D	105515	105574	-0.0671	-0.0327	-0.0131	
chr0D	105803	105862	-0.1393	-0.0203	-0.1179	
chr0D	105963	106022	-0.0726	0.0396	0.0061	
chr0D	106402	106461	-0.1302	-0.0978	-0.0147	
chr0D	106738	106797	0.0054	-0.0843	0.0211	
chr0D	10688	10747	-0.0977	-0.0586	-0.0216	
chr0D	106935	106994	-0.0245	-0.0367	-0.0276	
chr0D	107364	107423	0.0747	-0.0239	0.0027	
chr0D	107624	107683	0.1444	0.0655	0.025	
chr0D	107816	107875	-0.0131	-0.0024	-0.046	
chr0D	108189	108248	0.0086	-0.0323	-0.1801	
chr0D	108508	108567	-0.012	-0.0598	-0.0186	
chr0D	108637	108696	-0.1882	-0.22	-0.0254	
chr0D	109040	109099	-0.0442	-0.0012	-0.0002	
chr0D	109315	109374	0.0077	0.0125	-0.1086	
chr0D	109705	109764	-0.0215	0.0335	-0.0083	
chr0D	109970	110029	-0.1636	-0.19	-0.3004	
chr0D	110317	110376	-0.0965	-0.1544	-0.0527	
chr0D	110483	110542	-0.0962	-0.0253	0.0365	
chr0D	110812	110871	0.0282	-0.0056	0.0015	
chr0D	111080	111139	-0.0805	-0.1102	0.0545	
chr0D	11124	11183	-0.1426	-0.19	0.0128	
chr0D	111369	111428	-0.0528	-0.0759	0.0198	
chr0D	111809	111868	0.016	0.0553	0.1069	
chr0D	111910	111969	-0.0976	-0.0431	-0.0072	
chr0D	112369	112428	-0.0636	-0.0306	-0.0207	
chr0D	112596	112655	-0.0566	-0.0109	0.043	
chr0D	11273	11332	-0.227	-0.1227	-0.0097	
chr0D	112980	113039	-0.0882	-0.0975	-0.0115	
chr0D	113292	113351	-0.0366	-0.0336	0.0214	
chr0D	113584	113643	-0.0603	-0.0264	0.0082	
chr0D	113855	113914	-0.0558	-0.0893	0.0387	
chr0D	114006	114065	-0.0491	-0.0523	0.0473	
chr0D	114491	114550	-0.038	-0.0374	-0.1647	
chr0D	114553	114612	0.0387	0.0207	0.0921	
chr0D	115010	115069	-0.1309	-0.0674	-0.0925	
chr0D	115326	115385	-0.0521	-0.0641	-0.0068	
chr0D	115636	115695	-0.1065	-0.1681	-0.0374	
chr0D	11589	11648	-0.0214	0.0074	0.1382	
chr0D	116078	116137	0.0615	0.0445	0.0691	
chr0D	116180	116239	0.0507	0.0352	-0.0082	
chr0D	116563	116622	0.0008	0.0344	-0.0526	
chr0D	116754	116813	-0.0114	0.0389	-0.063	
chr0D	117075	117134	0.1325	0.1348	0.0403	
chr0D	117182	117241	0.1325	0.0932	0.0484	
chr0D	117591	117650	-0.033	-0.0365	-0.0649	
chr0D	117853	117912	-0.0444	-0.023	-0.0604	
chr0D	118134	118193	0.0649	0.0834	-0.0292	
chr0D	118461	118520	0.0489	0.1013	0.0329	
chr0D	118609	118668	0.0508	0.1162	0.0275	
chr0D	118953	119012	-0.0821	-0.0851	-0.0108	
