!
!Date: 09/30/2019
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Regulator	Regulator Systematic Name	Target	Target Systematic Name	Direction	Regulation of	Happens During	Regulator Type	Direction	Regulation Of	Happens During	Method	Evidence	Strain Background	Reference
YAP1	YML007W	FUN12	YAL035W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	GAL80	YML051W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	GAT1	YFL021W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	GCD11	YER025W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	GCN5	YGR252W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	GCV1	YDR019C		transcription	cellular response to hydrogen peroxide	transcription factor		transcription	cellular response to hydrogen peroxide	high-throughput	DNA to cDNA expression microarray evidence	S288C	Cohen BA, et al. (2002) PMID:12006656
YAP1	YML007W	GCV2	YMR189W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	GDB1	YPR184W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	GDH2	YDL215C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	GDH3	YAL062W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	GDH3	YAL062W		transcription	cellular response to hydrogen peroxide	transcription factor		transcription	cellular response to hydrogen peroxide	high-throughput	DNA to cDNA expression microarray evidence	S288C	Cohen BA, et al. (2002) PMID:12006656
YAP1	YML007W	GDT1	YBR187W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	GEX2	YKR106W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	GIC2	YDR309C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	GID8	YMR135C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	GIN4	YDR507C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	GIS3	YLR094C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	GLC8	YMR311C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	GLK1	YCL040W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	GLT1	YDL171C		transcription	cellular response to hydrogen peroxide	transcription factor		transcription	cellular response to hydrogen peroxide	high-throughput	DNA to cDNA expression microarray evidence	S288C	Cohen BA, et al. (2002) PMID:12006656
YAP1	YML007W	GNP1	YDR508C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	GPA2	YER020W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	GPD1	YDL022W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	GPI16	YHR188C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	GPX2	YBR244W		transcription		transcription factor		transcription		high-throughput	DNA to cDNA expression microarray evidence	S288C	Hu Z, et al. (2007) PMID:17417638
YAP1	YML007W	GRE2	YOL151W		transcription		transcription factor		transcription		high-throughput	DNA to cDNA expression microarray evidence	S288C	Hu Z, et al. (2007) PMID:17417638
YAP1	YML007W	GSH1	YJL101C		transcription		transcription factor		transcription		high-throughput	chromatin immunoprecipitation-chip evidence	W303	MacIsaac KD, et al. (2006) PMID:16522208
YAP1	YML007W	GSY1	YFR015C		transcription	cellular response to hydrogen peroxide	transcription factor		transcription	cellular response to hydrogen peroxide	high-throughput	DNA to cDNA expression microarray evidence	S288C	Cohen BA, et al. (2002) PMID:12006656
YAP1	YML007W	GSY2	YLR258W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	GTF1	YGR102C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	GTT3	YEL017W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	GUT2	YIL155C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	GYP7	YDL234C		transcription		transcription factor		transcription		high-throughput	DNA to cDNA expression microarray evidence	S288C	Hu Z, et al. (2007) PMID:17417638
YAP1	YML007W	GYP8	YFL027C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	HAP3	YBL021C		transcription	cellular response to hydrogen peroxide	transcription factor		transcription	cellular response to hydrogen peroxide	high-throughput	DNA to cDNA expression microarray evidence	S288C	Cohen BA, et al. (2002) PMID:12006656
YAP1	YML007W	HEK2	YBL032W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	HEK2	YBL032W		transcription		transcription factor		transcription		high-throughput	chromatin immunoprecipitation-chip evidence	W303	MacIsaac KD, et al. (2006) PMID:16522208
YAP1	YML007W	HEM15	YOR176W		transcription	cellular response to hydrogen peroxide	transcription factor		transcription	cellular response to hydrogen peroxide	high-throughput	DNA to cDNA expression microarray evidence	S288C	Cohen BA, et al. (2002) PMID:12006656
YAP1	YML007W	HIS2	YFR025C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	HIS4	YCL030C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	HMO1	YDR174W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	HMS2	YJR147W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	HNM1	YGL077C		transcription	cellular response to hydrogen peroxide	transcription factor		transcription	cellular response to hydrogen peroxide	high-throughput	DNA to cDNA expression microarray evidence	S288C	Cohen BA, et al. (2002) PMID:12006656
YAP1	YML007W	HOF1	YMR032W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	HRT3	YLR097C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	HSL7	YBR133C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	HSP30	YCR021C		transcription		transcription factor		transcription		high-throughput	DNA to cDNA expression microarray evidence	S288C	Hu Z, et al. (2007) PMID:17417638
YAP1	YML007W	HSP60	YLR259C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	HUB1	YNR032C-A		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	HUL5	YGL141W		transcription	cellular response to hydrogen peroxide	transcription factor		transcription	cellular response to hydrogen peroxide	high-throughput	DNA to cDNA expression microarray evidence	S288C	Cohen BA, et al. (2002) PMID:12006656
YAP1	YML007W	HXK1	YFR053C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	HXT2	YMR011W		transcription	cellular response to hydrogen peroxide	transcription factor		transcription	cellular response to hydrogen peroxide	high-throughput	DNA to cDNA expression microarray evidence	S288C	Cohen BA, et al. (2002) PMID:12006656
YAP1	YML007W	HXT4	YHR092C		transcription	cellular response to hydrogen peroxide	transcription factor		transcription	cellular response to hydrogen peroxide	high-throughput	DNA to cDNA expression microarray evidence	S288C	Cohen BA, et al. (2002) PMID:12006656
YAP1	YML007W	ICE2	YIL090W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	IDS2	YJL146W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	IES1	YFL013C		transcription	cellular response to hydrogen peroxide	transcription factor		transcription	cellular response to hydrogen peroxide	high-throughput	DNA to cDNA expression microarray evidence	S288C	Cohen BA, et al. (2002) PMID:12006656
YAP1	YML007W	IES5	YER092W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	IES6	YEL044W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	IGD1	YFR017C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	ILV3	YJR016C		transcription	cellular response to hydrogen peroxide	transcription factor		transcription	cellular response to hydrogen peroxide	high-throughput	DNA to cDNA expression microarray evidence	S288C	Cohen BA, et al. (2002) PMID:12006656
YAP1	YML007W	ILV5	YLR355C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	IMD2	YHR216W		transcription	cellular response to hydrogen peroxide	transcription factor		transcription	cellular response to hydrogen peroxide	high-throughput	DNA to cDNA expression microarray evidence	S288C	Cohen BA, et al. (2002) PMID:12006656
YAP1	YML007W	IML3	YBR107C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	IOC2	YLR095C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	IOC4	YMR044W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	IPP1	YBR011C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	IRA2	YOL081W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	IRC15	YPL017C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	IRC7	YFR055W		transcription	cellular response to hydrogen peroxide	transcription factor		transcription	cellular response to hydrogen peroxide	high-throughput	DNA to cDNA expression microarray evidence	S288C	Cohen BA, et al. (2002) PMID:12006656
YAP1	YML007W	IST1	YNL265C		transcription	cellular response to hydrogen peroxide	transcription factor		transcription	cellular response to hydrogen peroxide	high-throughput	DNA to cDNA expression microarray evidence	S288C	Cohen BA, et al. (2002) PMID:12006656
YAP1	YML007W	ISU1	YPL135W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	ISW1	YBR245C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	ISY1	YJR050W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	ITR1	YDR497C		transcription	cellular response to hydrogen peroxide	transcription factor		transcription	cellular response to hydrogen peroxide	high-throughput	DNA to cDNA expression microarray evidence	S288C	Cohen BA, et al. (2002) PMID:12006656
YAP1	YML007W	IVY1	YDR229W		transcription	cellular response to hydrogen peroxide	transcription factor		transcription	cellular response to hydrogen peroxide	high-throughput	DNA to cDNA expression microarray evidence	S288C	Cohen BA, et al. (2002) PMID:12006656
YAP1	YML007W	IXR1	YKL032C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	IZH3	YLR023C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	JEM1	YJL073W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	JID1	YPR061C		transcription	cellular response to hydrogen peroxide	transcription factor		transcription	cellular response to hydrogen peroxide	high-throughput	DNA to cDNA expression microarray evidence	S288C	Cohen BA, et al. (2002) PMID:12006656
YAP1	YML007W	KAP95	YLR347C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	KEL2	YGR238C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	KRE6	YPR159W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	LAG1	YHL003C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	LAG2	YOL025W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	LAM6	YLR072W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	LDB18	YLL049W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	LDS2	YOL047C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	LEU9	YOR108W		transcription	cellular response to hydrogen peroxide	transcription factor		transcription	cellular response to hydrogen peroxide	high-throughput	DNA to cDNA expression microarray evidence	S288C	Cohen BA, et al. (2002) PMID:12006656
YAP1	YML007W	LSB6	YJL100W		transcription		transcription factor		transcription		high-throughput	chromatin immunoprecipitation-chip evidence	W303	MacIsaac KD, et al. (2006) PMID:16522208
YAP1	YML007W	LTE1	YAL024C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	LUG1	YLR352W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	LYS21	YDL131W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MAE1	YKL029C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MAK16	YAL025C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MAL11	YGR289C		transcription	cellular response to hydrogen peroxide	transcription factor		transcription	cellular response to hydrogen peroxide	high-throughput	DNA to cDNA expression microarray evidence	S288C	Cohen BA, et al. (2002) PMID:12006656
YAP1	YML007W	MBF1	YOR298C-A		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MCA1	YOR197W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MCH5	YOR306C		transcription	cellular response to hydrogen peroxide	transcription factor		transcription	cellular response to hydrogen peroxide	high-throughput	DNA to cDNA expression microarray evidence	S288C	Cohen BA, et al. (2002) PMID:12006656
YAP1	YML007W	MDH1	YKL085W		transcription	cellular response to hydrogen peroxide	transcription factor		transcription	cellular response to hydrogen peroxide	high-throughput	DNA to cDNA expression microarray evidence	S288C	Cohen BA, et al. (2002) PMID:12006656
YAP1	YML007W	MED4	YOR174W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MET13	YGL125W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MET28	YIR017C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MET30	YIL046W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MET4	YNL103W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MET6	YER091C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MEU1	YLR017W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MHP1	YJL042W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MIN4	YML007C-A		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MIP1	YOR330C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MIR1	YJR077C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MMF1	YIL051C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MMS1	YPR164W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MNN11	YJL183W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MPH1	YIR002C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MPH1	YIR002C		transcription	cellular response to hydrogen peroxide	transcription factor		transcription	cellular response to hydrogen peroxide	high-throughput	DNA to cDNA expression microarray evidence	S288C	Cohen BA, et al. (2002) PMID:12006656
YAP1	YML007W	MPS2	YGL075C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MRP2	YPR166C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MRPL13	YKR006C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MRPL8	YJL063C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MRS1	YIR021W		transcription	cellular response to hydrogen peroxide	transcription factor		transcription	cellular response to hydrogen peroxide	high-throughput	DNA to cDNA expression microarray evidence	S288C	Cohen BA, et al. (2002) PMID:12006656
YAP1	YML007W	MRS2	YOR334W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MRS4	YKR052C		transcription		transcription factor		transcription		high-throughput	chromatin immunoprecipitation-chip evidence	W303	MacIsaac KD, et al. (2006) PMID:16522208
YAP1	YML007W	MSC1	YML128C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MSY1	YPL097W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MTQ1	YNL063W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MUP1	YGR055W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	MXR1	YER042W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	NAN1	YPL126W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	NCE103	YNL036W		transcription	cellular response to hydrogen peroxide	transcription factor		transcription	cellular response to hydrogen peroxide	high-throughput	DNA to cDNA expression microarray evidence	S288C	Cohen BA, et al. (2002) PMID:12006656
YAP1	YML007W	NCP1	YHR042W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	NCW1	YMR122W-A		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	NDC1	YML031W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
YAP1	YML007W	NFI1	YOR156C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
