Candida albicans SC5314	Candida albicans WO-1	Candida dubliniensis CD36 	Candida tropicalis MYA-3404	Candida parapsilosis CDC317	Candida orthopsilosis Co 90-125	Lodderomyces elongisporus NRLL YB-4239	Debaryomyces hansenii CBS767	Pichia stipitis Pignal	Candida tenuis NRRL Y-1498	Spathaspora passalidarum NRRL Y-27907	Candida guilliermondii ATCC 6260	Candida lusitaniae ATCC 42720	Saccharomyces cerevisiae S288C	Candida glabrata CBS138
orf19.6109	CAWG_01360	CD36_00070	---	CPAR2_109520	CORT0B10590	LELG_01447	DEHA2A13420g	PICST_63551	CANTEDRAFT_122819	SPAPADRAFT_57666	PGUG_01096	CLUG_03455	YCR084C	CAGL0E00561g
orf19.3291	CAWG_01271	CD36_00970	CTRG_04404	CPAR2_110080	CORT0B11190	LELG_05598	DEHA2B00924g	PICST_51802	CANTEDRAFT_115202	SPAPADRAFT_57792	PGUG_00048	CLUG_00020	YBR034C	CAGL0I04730g
orf19.5816	CAWG_04056	CD36_17490	CTRG_01363	CPAR2_702060	CORT0G02190	LELG_00724	---	---	---	---	---	---	---	
orf19.5815	CAWG_04057	CD36_17480	CTRG_01364	CPAR2_210650	CORT0A09980	LELG_00726	DEHA2E07040g	PICST_45343	CANTEDRAFT_111583	SPAPADRAFT_136811	PGUG_05538	CLUG_05540	YKR067W	CAGL0K08162g
orf19.5814	CAWG_04058	CD36_17470	CTRG_01915	CPAR2_303800	CORT0E05960	---	DEHA2E21362g	PICST_61775	CANTEDRAFT_110078	SPAPADRAFT_54862	PGUG_03538	CLUG_04657	---	
orf19.5813	CAWG_04059	CD36_17460	CTRG_01365	CPAR2_210670	CORT0A10130	LELG_00728	DEHA2E07084g	PICST_44575	---	SPAPADRAFT_137676	PGUG_05537	CLUG_05539	YOR052C	CAGL0L10186g
orf19.5812	CAWG_04060	CD36_17450	CTRG_01366	CPAR2_210680	CORT0A10120	LELG_00729	DEHA2E07106g	PICST_58954	CANTEDRAFT_116399	SPAPADRAFT_60771	PGUG_05536	CLUG_05538	YOR051C	CAGL0L10164g
orf19.5811	CAWG_04061	CD36_17710	CTRG_01367	CPAR2_210690	CORT0A10110	LELG_00730	DEHA2E07128g	PICST_31820	CANTEDRAFT_110663	SPAPADRAFT_60770	PGUG_05535	CLUG_05537	YKR069W	CAGL0G01903g
orf19.4549	CAWG_01204	CD36_01600	---	---	---	---	---	---	---	---	---	---	---	
orf19.5809	CAWG_04062	CD36_17430	CTRG_01368	CPAR2_210710	CORT0A10090	LELG_00731	DEHA2A04818g	PICST_45065	CANTEDRAFT_114548	SPAPADRAFT_60769	PGUG_00188	CLUG_00635	YJL060W	CAGL0J05126g
orf19.5808	CAWG_04063	CD36_17730	CTRG_01369	CPAR2_210720	CORT0A10080	LELG_00732	DEHA2A04840g	PICST_45902	CANTEDRAFT_123234	SPAPADRAFT_151473	PGUG_00187	CLUG_00634	YBR271W	CAGL0I09438g
orf19.5806	CAWG_04064	CD36_17740	CTRG_01342	CPAR2_212210	CORT0A11550	LELG_01093	DEHA2G03740g	PICST_29563	CANTEDRAFT_117236	SPAPADRAFT_136378	PGUG_03008	CLUG_04537	YER073W	CAGL0J03212g
orf19.5805	CAWG_04065	CD36_17750	CTRG_01343	CPAR2_212190	CORT0A11530	LELG_01095	DEHA2D08734g	PICST_31583	CANTEDRAFT_123073	SPAPADRAFT_59081	PGUG_02342	CLUG_00234	---	
orf19.5804	CAWG_04066	CD36_17760	CTRG_01340	CPAR2_212180	CORT0A11520	LELG_01096	DEHA2G04312g	PICST_81320	CANTEDRAFT_100908	SPAPADRAFT_50321	PGUG_05204	CLUG_02283	YKL215C	CAGL0K00231g
orf19.5802	CAWG_04067	CD36_17770	CTRG_01328	CPAR2_212170	CORT0A11510	LELG_01097	DEHA2G04290g	PICST_81457	CANTEDRAFT_112122	SPAPADRAFT_60797	PGUG_02980	CLUG_00947	YOR006C	CAGL0E02717g
orf19.5801	CAWG_04068	CD36_17780	CTRG_01327	CPAR2_212160	CORT0A11500	LELG_01098	DEHA2G04268g	PICST_70259	CANTEDRAFT_112123	SPAPADRAFT_50323	PGUG_02981	CLUG_00948	YJL026W	CAGL0G04213g
orf19.5799	CAWG_04069	CD36_17790	CTRG_01326	CPAR2_212150	CORT0A11490	LELG_01099	DEHA2G04246g	PICST_55521	CANTEDRAFT_128815	SPAPADRAFT_55323	PGUG_02982	CLUG_00949	YJL016W	CAGL0G06886g
orf19.5798	CAWG_04070	CD36_17800	CTRG_01324	CPAR2_211160	CORT0A10510	LELG_01256	DEHA2G04224g	PICST_81859	CANTEDRAFT_117182	SPAPADRAFT_151563	PGUG_02983	CLUG_01056	YOR005C	CAGL0E02695g
orf19.5797	CAWG_04071	CD36_17810	CTRG_01321	CPAR2_211570	CORT0A10910	LELG_01298	DEHA2G04180g	PICST_70308	CANTEDRAFT_112125	---	PGUG_02986	---	---	
orf19.4548	CAWG_01203	CD36_01610	CTRG_04582	CPAR2_108870	CORT0B09960	LELG_01580	DEHA2B06666g	PICST_30650	CANTEDRAFT_97138	SPAPADRAFT_131901	PGUG_00769	CLUG_00100	YCR019W	CAGL0L07898g
orf19.5796	CAWG_04072	CD36_17820	CTRG_01320	CPAR2_211580	CORT0A10920	LELG_01297	DEHA2G04158g	PICST_54978	CANTEDRAFT_91559	SPAPADRAFT_60803	PGUG_02987	CLUG_00952	YDR393W	CAGL0M01518g
orf19.5793	CAWG_04073	CD36_17830	CTRG_01319	CPAR2_211590	CORT0A10930	LELG_01296	DEHA2G04136g	PICST_66830	CANTEDRAFT_112127	SPAPADRAFT_60804	PGUG_02988	CLUG_00880	YDR394W	CAGL0K09526g
orf19.5792	CAWG_04074	CD36_17840	CTRG_01318	CPAR2_211600	CORT0A10940	LELG_01295	DEHA2G04114g	PICST_54201	CANTEDRAFT_96454	SPAPADRAFT_55329	PGUG_02989	CLUG_00882	YOR149C	CAGL0K09548g
orf19.5791	CAWG_04075	CD36_17850	CTRG_01317	CPAR2_211610	CORT0A10950	LELG_01294	DEHA2G05786g	PICST_42313	CANTEDRAFT_112894	SPAPADRAFT_60805	PGUG_02910	CLUG_05795	YOR136W	CAGL0I07227g
orf19.5789	CAWG_04076	CD36_17860	CTRG_01316	CPAR2_211620	CORT0A10960	LELG_01293	DEHA2G05764g	PICST_34864	CANTEDRAFT_101629	SPAPADRAFT_137588	PGUG_02911	CLUG_05796	YDR408C	CAGL0F02761g
orf19.5788	CAWG_04077	CD36_17870	CTRG_01315	CPAR2_211630	CORT0A10970	LELG_01292	DEHA2G05742g	PICST_66828	CANTEDRAFT_101686	SPAPADRAFT_66414	PGUG_02912	CLUG_05797	YOR133W	
orf19.5785	CAWG_04078	CD36_17880	CTRG_01314	CPAR2_211640	CORT0A10980	LELG_01291	DEHA2G05720g	PICST_29528	CANTEDRAFT_112896	---	PGUG_02913	CLUG_05798	---	
orf19.5784	CAWG_04079	CD36_17890	CTRG_01313	CPAR2_211650	CORT0A10990	LELG_01290	DEHA2G05698g	PICST_55523	CANTEDRAFT_101270	SPAPADRAFT_60808	PGUG_02914	CLUG_05800	---	
orf19.5783	CAWG_04080	CD36_17900	CTRG_01302	CPAR2_211660	CORT0A11000	LELG_01299	DEHA2G05676g	PICST_76584	CANTEDRAFT_97097	SPAPADRAFT_60809	PGUG_02915	CLUG_05801	YOR021C	CAGL0E04532g
orf19.5782	CAWG_04081	CD36_17910	CTRG_01303	CPAR2_211670	CORT0A11010	LELG_01300	DEHA2G05654g	PICST_29525	CANTEDRAFT_129460	SPAPADRAFT_71305	PGUG_02916	CLUG_05802	YOR022C	CAGL0E04510g
orf19.4546	CAWG_01202	CD36_01620	CTRG_04584.1	CPAR2_108860	CORT0B09950	LELG_01581	DEHA2B06644g	PICST_82843	CANTEDRAFT_101377	SPAPADRAFT_130850	PGUG_00770	CLUG_00099	---	
orf19.5780	CAWG_04082	CD36_17920	CTRG_01310	CPAR2_211680	CORT0A11020	LELG_01301	DEHA2G05632g	PICST_29524	CANTEDRAFT_97099	SPAPADRAFT_55337	PGUG_02917	CLUG_01595	YIL067C	CAGL0M12683g
orf19.5779	CAWG_04083	CD36_17930	CTRG_01309	CPAR2_211690	CORT0A11030	LELG_01302	DEHA2G05610g	PICST_75662	CANTEDRAFT_102078	SPAPADRAFT_60812	PGUG_02918	CLUG_01593	YER070W	CAGL0J03146g
orf19.5777	CAWG_04084	CD36_17940	CTRG_01308	CPAR2_211730	CORT0A11070	LELG_01305	DEHA2G05522g	PICST_34859	CANTEDRAFT_112505	SPAPADRAFT_136550	PGUG_02921	CLUG_01573	YBR096W	CAGL0H08459g
orf19.5776	CAWG_04087.1	CD36_17950	CTRG_01307	CPAR2_211720	CORT0A11060	LELG_01304	DEHA2G05544g	PICST_81688	CANTEDRAFT_101852	SPAPADRAFT_137140	PGUG_02920	CLUG_01571	YDR457W	CAGL0K06303g
orf19.910	CAWG_04088	CD36_17960	CTRG_01306	CPAR2_211710	CORT0A11050	LELG_01303	DEHA2G05566g	PICST_29522	CANTEDRAFT_101276	SPAPADRAFT_137189	PGUG_02919	CLUG_01592	YDR473C	CAGL0M08976g
orf19.909.1	---	CD36_17965	---	CPAR2_211700	CORT0A11040	---	DEHA2G05588g	---	CANTEDRAFT_112898	SPAPADRAFT_60813	---	---	---	
orf19.909	CAWG_04089	CD36_17970	CTRG_01305	CPAR2_211740	CORT0A11080	LELG_01307	DEHA2G05500g	PICST_66824	---	SPAPADRAFT_60816	PGUG_02922	---	YLR375W	CAGL0H04873g
orf19.908	CAWG_04090	CD36_17980	CTRG_01179	CPAR2_211750	CORT0A11090	LELG_01308	DEHA2G05478g	PICST_20287	CANTEDRAFT_114304	SPAPADRAFT_60817	PGUG_02923	CLUG_01575	YLR372W	CAGL0G04851g
orf19.906	CAWG_04091	CD36_17990	CTRG_01178	CPAR2_211760	CORT0A11100	LELG_01309	DEHA2G05456g	PICST_42612	CANTEDRAFT_122634	SPAPADRAFT_137544	PGUG_02924	CLUG_01576	YLR371W	CAGL0G04873g
orf19.905	CAWG_04092	CD36_18000	CTRG_01177	CPAR2_211830	CORT0A11170	LELG_01316	DEHA2A09834g	PICST_70212	CANTEDRAFT_106246	SPAPADRAFT_60823	PGUG_02004	CLUG_04757	YIL088C	CAGL0M06611g
orf19.6094	CAWG_01352	CD36_00140	CTRG_04287	CPAR2_109580	CORT0B10660	LELG_01454	DEHA2A13244g	PICST_28179	CANTEDRAFT_106623	SPAPADRAFT_53071	PGUG_03625	CLUG_03447	YJL029C	CAGL0J01111g
orf19.4545	CAWG_01201	CD36_01630	CTRG_04585	CPAR2_109060	CORT0B10160	LELG_01582	DEHA2B06600g	PICST_65402	CANTEDRAFT_102423	SPAPADRAFT_133262	PGUG_00771	CLUG_00097	YER111C	CAGL0A04565g
orf19.904	CAWG_04093	CD36_18010	CTRG_01176	CPAR2_211820	CORT0A11160	LELG_01315	DEHA2E21076g	PICST_34851	CANTEDRAFT_111029	SPAPADRAFT_151638	PGUG_05022	CLUG_01891	---	
orf19.903	CAWG_04094	CD36_18020	CTRG_01175	CPAR2_211810	CORT0A11150	LELG_01314	DEHA2E21054g	PICST_70394	CANTEDRAFT_116105	SPAPADRAFT_136791	PGUG_05024	CLUG_01890	YKL152C	CAGL0E06358g
orf19.900	CAWG_04095	CD36_18030	CTRG_01174	CPAR2_211800	CORT0A11140	LELG_01313	DEHA2E21032g	PICST_88123	---	SPAPADRAFT_60820	PGUG_05028	CLUG_01889	YJL041W	CAGL0J00781g
orf19.899	CAWG_04096	CD36_18040	CTRG_01173	CPAR2_211790	CORT0A11130	LELG_01312	DEHA2E21010g	PICST_76547	CANTEDRAFT_109928	SPAPADRAFT_137163	PGUG_05029	CLUG_01888	---	
orf19.898	CAWG_04097	CD36_18050	CTRG_01172	CPAR2_211770	CORT0A11110	LELG_01310	DEHA2E20999g	PICST_54024	CANTEDRAFT_111402	SPAPADRAFT_60819	PGUG_05030	CLUG_01887	YGL040C	CAGL0D06138g
orf19.897	CAWG_04098	CD36_18060	CTRG_01171	CPAR2_211780	CORT0A11120	LELG_01311	DEHA2E20988g	PICST_29516	CANTEDRAFT_116102	SPAPADRAFT_60818	PGUG_05031	CLUG_01886	YMR077C	CAGL0D04246g
orf19.896	CAWG_04099	CD36_18070	CTRG_01180	CPAR2_210430	CORT0A09750	LELG_00701	---	---	---	---	PGUG_04397	CLUG_03903	---	
orf19.895	CAWG_04100	CD36_18080	CTRG_01181	CPAR2_211840	CORT0A11180	LELG_01317	DEHA2E20944g	PICST_54431	CANTEDRAFT_111568	SPAPADRAFT_60825	PGUG_05033	CLUG_01883	YLR113W	CAGL0M11748g
orf19.894	CAWG_04101	CD36_18090	CTRG_01182	CPAR2_211850	CORT0A11190	LELG_01318	DEHA2E20922g	PICST_34848	CANTEDRAFT_131946	SPAPADRAFT_137294	PGUG_05034	CLUG_01882	YDR137W	CAGL0B01639g
orf19.893	CAWG_04102	CD36_18100	CTRG_01183	CPAR2_211860	CORT0A11200	LELG_01319	---	PICST_66818	CANTEDRAFT_95541	SPAPADRAFT_50354	---	---	---	
orf19.4544	CAWG_01200	CD36_01640	CTRG_04586	CPAR2_106830	CORT0B08060	LELG_01583	DEHA2B06578g	PICST_67267	---	SPAPADRAFT_58030	PGUG_00772	CLUG_00096	---	
orf19.891	CAWG_04103	CD36_18110	CTRG_01184	CPAR2_211870	CORT0A11210	LELG_01320	DEHA2E20900g	PICST_40926	CANTEDRAFT_131945	SPAPADRAFT_60828	PGUG_05035	CLUG_02763	YML035C	CAGL0G07425g
orf19.889	CAWG_04104	CD36_18120	CTRG_01185	CPAR2_211900	CORT0A11240	LELG_01321	DEHA2E20878g	PICST_70077	CANTEDRAFT_111183	SPAPADRAFT_60829	PGUG_05036	CLUG_02764	YOL055C	CAGL0C05071g
orf19.886	CAWG_04105	CD36_18130	CTRG_01186	CPAR2_211890	CORT0A11230	LELG_01322	DEHA2E20856g	PICST_55255	---	SPAPADRAFT_135776	PGUG_05037	CLUG_02765	YIR006C	CAGL0J01892g
orf19.882	CAWG_04106	CD36_18140	CTRG_01187	CPAR2_211560	CORT0A10900	LELG_01283	DEHA2E20834g	PICST_54293	CANTEDRAFT_126909	SPAPADRAFT_60830	PGUG_05038	CLUG_02766	YDR258C	CAGL0M08822g
orf19.881	CAWG_04107	CD36_18150	CTRG_01188	CPAR2_211550	CORT0A10890	LELG_01284	DEHA2E20812g	PICST_56077	---	SPAPADRAFT_60831	PGUG_05039	CLUG_05378	YOR030W	CAGL0H08129g
orf19.880	CAWG_04108	CD36_18160	CTRG_01189	CPAR2_211540	CORT0A10880	LELG_01285	DEHA2E20790g	PICST_81443	CANTEDRAFT_109991	SPAPADRAFT_50360	PGUG_05040	CLUG_05380	YHR098C	CAGL0A01848g
orf19.879	CAWG_04109	CD36_18170	CTRG_01190	CPAR2_211530	CORT0A10870	LELG_01286	DEHA2E20768g	PICST_29498	CANTEDRAFT_111855	SPAPADRAFT_151669	PGUG_05041	CLUG_05381	YOR035C	CAGL0I01034g
orf19.878	CAWG_04110	CD36_18180	CTRG_01191	CPAR2_211520	CORT0A10860	LELG_01287	DEHA2E20746g	PICST_70792	CANTEDRAFT_99597	SPAPADRAFT_136148	PGUG_05042	CLUG_05382	YHR090C	CAGL0H02035g
orf19.876	CAWG_04111	CD36_18190	CTRG_01192	CPAR2_211510	CORT0A10850	---	---	PICST_66813	---	---	---	CLUG_05383	---	
orf19.875	CAWG_04112	CD36_18200	CTRG_01193	CPAR2_211500	CORT0A10840	LELG_01289	DEHA2E20702g	PICST_29495	CANTEDRAFT_116094	SPAPADRAFT_136686	PGUG_05043	CLUG_05385	---	
orf19.4543	CAWG_01199	CD36_01650	CTRG_04587	CPAR2_106820	CORT0B08050	LELG_01584	DEHA2B06556g	PICST_57266	CANTEDRAFT_112945	SPAPADRAFT_58029	---	CLUG_00095	---	
orf19.874	CAWG_04113	CD36_18210	CTRG_01194	CPAR2_211490	CORT0A10830	LELG_01282	DEHA2E20680g	PICST_40521	CANTEDRAFT_126892	SPAPADRAFT_60835	PGUG_05044	CLUG_05386	YCL044C	CAGL0B00682g
orf19.873.1	CAWG_04114	CD36_18220	CTRG_01195	CPAR2_211480	CORT0A10820	LELG_01281	DEHA2E20658g	PICST_82299	CANTEDRAFT_116091	SPAPADRAFT_60839	---	---	YHR051W	CAGL0J00429g
orf19.873	CAWG_04115	---	---	---	---	---	---	---	---	---	---	---	---	
orf19.872	CAWG_04116	CD36_18230	CTRG_01196	---	---	---	DEHA2E20636g	PICST_66811	---	SPAPADRAFT_60843	---	CLUG_05388	---	
orf19.871	CAWG_04117	CD36_18240	CTRG_01204	CPAR2_211410	CORT0A10740	LELG_01274	DEHA2F09328g	PICST_41410	CANTEDRAFT_95064	SPAPADRAFT_55372	PGUG_01517	CLUG_05141	YKL176C	CAGL0M08228g
orf19.868	CAWG_04118	CD36_18250	CTRG_01202	CPAR2_211420	CORT0A10750	LELG_01275	DEHA2F09262g	---	CANTEDRAFT_112304	SPAPADRAFT_60853	PGUG_01513	CLUG_05138	---	
orf19.867	CAWG_04119	CD36_18260	CTRG_01201	CPAR2_211430	CORT0A10770	LELG_01276	DEHA2F09240g	PICST_87040	CANTEDRAFT_112306	SPAPADRAFT_135892	PGUG_01512	CLUG_05137	YGL160W	CAGL0K05863g
orf19.866	CAWG_04120	CD36_18270	ctro_CGOB_00006	CPAR2_211440	CORT0A10780	LELG_01277	DEHA2F09196g	PICST_41858	CANTEDRAFT_135286	SPAPADRAFT_137729	PGUG_01511	CLUG_05136	YDR419W	CAGL0F02959g
orf19.864	CAWG_04121	CD36_18280	CTRG_01200	CPAR2_211450	CORT0A10790	LELG_01278	DEHA2E20548g	PICST_81669	---	SPAPADRAFT_71334	PGUG_05052	CLUG_05392	YHR077C	CAGL0J10670g
orf19.863	CAWG_04122	CD36_18290	CTRG_01199	CPAR2_211460	CORT0A10800	LELG_01279	DEHA2E20570g	PICST_81718	CANTEDRAFT_116087	SPAPADRAFT_137800	PGUG_05051	CLUG_05391	YDR322W	CAGL0H07029g
orf19.4542	CAWG_01198	CD36_01660	CTRG_04588	CPAR2_106810	CORT0B08040	LELG_01585	DEHA2B03388g	PICST_82497	CANTEDRAFT_119767	SPAPADRAFT_58028	PGUG_04108	CLUG_02148	YPR025C	CAGL0K05115g
orf19.862	CAWG_04123	CD36_18300	CTRG_01198	---	---	---	DEHA2E20592g	PICST_40869	CANTEDRAFT_116088	SPAPADRAFT_50369	---	---	---	
orf19.861	CAWG_04124	CD36_18310	CTRG_01197	CPAR2_211470	CORT0A10810	LELG_01280	DEHA2E20614g	PICST_66810	---	SPAPADRAFT_60844	PGUG_05046	CLUG_05390	---	
orf19.860	CAWG_04125	CD36_18320	CTRG_01211	CPAR2_211880	CORT0A11220	LELG_01124	DEHA2D04312g	PICST_55466	CANTEDRAFT_101950	SPAPADRAFT_137593	PGUG_04975	CLUG_01746	---	
orf19.857	CAWG_04126	---	---	CPAR2_207090	CORT0A06440	---	---	---	---	---	---	---	---	
orf19.856	CAWG_04127	CD36_18330	CTRG_01212	CPAR2_207100	CORT0A06450	LELG_00577	DEHA2E07546g	PICST_52278	CANTEDRAFT_112921	SPAPADRAFT_48360	PGUG_05520	CLUG_03373	---	
orf19.855	CAWG_04128	CD36_18340	CTRG_01207	---	---	---	DEHA2D04356g	PICST_34839	CANTEDRAFT_124631	SPAPADRAFT_137777	PGUG_04976	---	---	
orf19.854	CAWG_04129	CD36_18350	CTRG_01206	CPAR2_211400	CORT0A10730	LELG_01273	DEHA2F09306g	PICST_54153	---	SPAPADRAFT_60855	PGUG_01516	CLUG_05140	---	
orf19.854.1	---	---	---	---	---	---	---	---	CANTEDRAFT_115643	---	---	---	---	
orf19.853	CAWG_04130	CD36_18360	---	---	---	---	---	---	---	---	---	---	---	
orf19.852	CAWG_04131	CD36_18370	---	---	---	LELG_01049	---	---	---	---	---	---	---	
orf19.4540	CAWG_01197	CD36_01670	CTRG_04589	CPAR2_106800	CORT0B08030	LELG_01586	DEHA2B06512g	PICST_57900	CANTEDRAFT_112946	SPAPADRAFT_58026	PGUG_00773	CLUG_00094	YEL012W	CAGL0M03399g
orf19.851	CAWG_04132	CD36_18380	CTRG_01210	CPAR2_207770	CORT0A07140	LELG_00918	DEHA2B04752g	PICST_30762	CANTEDRAFT_137250	SPAPADRAFT_60563	PGUG_03696	CLUG_03086	---	
orf19.850	CAWG_04133	CD36_18390	CTRG_01209	CPAR2_212120	CORT0A11460	LELG_01101	DEHA2B04774g	PICST_43145	CANTEDRAFT_128388	SPAPADRAFT_60562	PGUG_03695	CLUG_01328	YJR062C	CAGL0H01771g
orf19.849	CAWG_04134	CD36_18400	CTRG_01208	CPAR2_212130	CORT0A11470	---	DEHA2B04796g	PICST_57784	CANTEDRAFT_111570	SPAPADRAFT_151020	PGUG_03694	CLUG_04884	YKL201C	CAGL0H09130g
orf19.848	CAWG_04135	CD36_18410	---	---	---	---	---	---	---	---	---	---	---	
orf19.847	CAWG_04136	CD36_18420	CTRG_01435	CPAR2_211280	CORT0A10620	LELG_01265	DEHA2B05104g	---	CANTEDRAFT_114792	SPAPADRAFT_61334	PGUG_03685	CLUG_02685	YMR152W	CAGL0M09713g
orf19.846	CAWG_04137	CD36_18430	CTRG_01283	CPAR2_211240	CORT0A10610	LELG_01264	DEHA2B05038g	PICST_76693	CANTEDRAFT_92700	SPAPADRAFT_55124	PGUG_03687	CLUG_02682	YKL171W	CAGL0M08316g
orf19.844	CAWG_04138	CD36_18440	CTRG_01284	CPAR2_211250	CORT0A10600	LELG_01263	DEHA2B05016g	PICST_67318	CANTEDRAFT_119948	SPAPADRAFT_137293	PGUG_03686	CLUG_02681	YLR362W	CAGL0B02739g
orf19.843	CAWG_04139	CD36_18450	CTRG_01285	CPAR2_211260	CORT0A10590	LELG_01262	DEHA2B04994g	PICST_56684	CANTEDRAFT_119946	SPAPADRAFT_60541	PGUG_03689	CLUG_02680	YLR361C	CAGL0B02761g
orf19.842	CAWG_04140	CD36_18460	CTRG_01286	CPAR2_211270	CORT0A10580	LELG_01261	DEHA2B04972g	---	CANTEDRAFT_113236	SPAPADRAFT_60554	---	---	---	
orf19.841	CAWG_04141	CD36_18470	CTRG_01287	CPAR2_211220	CORT0A10570	LELG_01260	DEHA2B04950g	PICST_88284	---	SPAPADRAFT_151000	PGUG_03690	CLUG_05374	YKL179C	CAGL0M08162g
orf19.4539	CAWG_01196	CD36_01680	CTRG_04590	CPAR2_106790	CORT0B08020	LELG_01587	DEHA2B06490g	PICST_30641	CANTEDRAFT_112947	---	PGUG_00774	---	---	
orf19.840	CAWG_04142	CD36_18480	CTRG_01288	CPAR2_211210	CORT0A10560	LELG_01259	DEHA2B04928g	PICST_67316	CANTEDRAFT_129717	SPAPADRAFT_50123	PGUG_04137	CLUG_05376	YBR191W	CAGL0M06523g
orf19.838.1	CAWG_04143	CD36_18490	---	CPAR2_211200	CORT0A10550	LELG_01258	DEHA2B04906g	PICST_77059	CANTEDRAFT_113224	SPAPADRAFT_50124	---	---	YBR189W	CAGL0M06501g
orf19.839	CAWG_04144	CD36_18500	CTRG_01289	CPAR2_211190	CORT0A10540	LELG_01257	DEHA2B04884g	PICST_43636	CANTEDRAFT_92694	SPAPADRAFT_60558	PGUG_03693	CLUG_05377	YLR143W	CAGL0M04521g
orf19.837.1	---	CD36_18505	---	CPAR2_211180	CORT0A10530	---	DEHA2B04862g	PICST_30772	CANTEDRAFT_133771	SPAPADRAFT_136319	---	---	YOL108C	CAGL0I07359g
orf19.837	CAWG_04145	CD36_18510	CTRG_01436	CPAR2_211290	CORT0A10630	LELG_01266	DEHA2B05126g	PICST_77083	CANTEDRAFT_114676	SPAPADRAFT_60539	PGUG_00833	CLUG_02686	YFL017C	CAGL0D02156g
orf19.836.1	CAWG_04146	CD36_18520	CTRG_01437	CPAR2_211300	CORT0A10640	---	---	---	---	---	---	---	YFL017W-A	CAGL0D02150g
orf19.836	CAWG_04147	CD36_18530	CTRG_01438	CPAR2_211310	CORT0A10650	---	DEHA2B05148g	PICST_30782	---	SPAPADRAFT_60537	PGUG_00832	CLUG_02687	---	
orf19.835	CAWG_04148	CD36_18540	CTRG_01439	CPAR2_211320	CORT0A10660	LELG_01267	DEHA2B05170g	PICST_82784	CANTEDRAFT_135192	SPAPADRAFT_55120	PGUG_00831	CLUG_02688	YFL013C	CAGL0J04180g
orf19.834	CAWG_04149	CD36_18550	CTRG_01440	CPAR2_211340	CORT0A10670	LELG_01268	DEHA2D06930g	PICST_35546	CANTEDRAFT_131376	SPAPADRAFT_135794	PGUG_02459	CLUG_00447	YHR204W	CAGL0F09053g
orf19.832	CAWG_04150	CD36_18560	CTRG_01441	CPAR2_211350	CORT0A10680	LELG_01269	DEHA2D06908g	PICST_30785	CANTEDRAFT_125231	SPAPADRAFT_150970	PGUG_02460	CLUG_04295	YLL031C	CAGL0G04015g
orf19.4538	CAWG_01195	CD36_01690	CTRG_04591	CPAR2_106780	CORT0B08010	LELG_01588	DEHA2C14542g	PICST_44112	CANTEDRAFT_113492	SPAPADRAFT_58025	PGUG_01037	CLUG_00059	YGL044C	CAGL0D06182g
orf19.831	CAWG_04151	CD36_18570	CTRG_01442	CPAR2_211360	CORT0A10690	LELG_01270	DEHA2D06886g	PICST_30786	CANTEDRAFT_115359	SPAPADRAFT_60533	PGUG_02461	CLUG_04294	---	
orf19.829	CAWG_04152	CD36_18580	CTRG_01449	CPAR2_211370	CORT0A10700	LELG_01271	DEHA2D06864g	PICST_65437	CANTEDRAFT_108157	SPAPADRAFT_150965	PGUG_02462	CLUG_04293	YHR205W	CAGL0F09075g
orf19.828	CAWG_04153	CD36_18600	CTRG_01448	CPAR2_211380	CORT0A10710	LELG_01272	DEHA2D06842g	PICST_43496	CANTEDRAFT_115360	SPAPADRAFT_60532	PGUG_02463	CLUG_04292	YMR193W	CAGL0K10912g
orf19.827.1	CAWG_04154	CD36_18610	---	CPAR2_211390	CORT0A10720	---	DEHA2D06820g	PICST_43155	CANTEDRAFT_125240	SPAPADRAFT_55114	---	---	YMR194W	CAGL0K10906g
orf19.827	CAWG_04155	CD36_18620	CTRG_01447	CPAR2_212480	CORT0A11800	LELG_01069	DEHA2D06798g	PICST_30790	CANTEDRAFT_115371	SPAPADRAFT_60531	PGUG_02464	CLUG_02755	---	
orf19.826	CAWG_04156	CD36_18630	CTRG_01446	---	---	---	DEHA2D11000g	PICST_83654	CANTEDRAFT_133133	SPAPADRAFT_71074	PGUG_00714	CLUG_00154	---	
orf19.825	CAWG_04157	CD36_18640	CTRG_01445	CPAR2_209260	CORT0A08550	LELG_00778	DEHA2D10978g	PICST_59263	CANTEDRAFT_112587	SPAPADRAFT_60515	PGUG_00713	CLUG_00155	YLR291C	CAGL0G09669g
orf19.823	CAWG_04158	CD36_18650	CTRG_01444	CPAR2_209270	CORT0A08560	---	---	---	---	---	---	---	---	
orf19.822	CAWG_04159	CD36_18660	CTRG_01443	CPAR2_209280	CORT0A08570	LELG_01555	---	PICST_31780	CANTEDRAFT_112588	SPAPADRAFT_50101	---	CLUG_00157	---	
orf19.820	CAWG_04160	CD36_18670	CTRG_01450	CPAR2_209290	CORT0A08580	LELG_00776	DEHA2D10934g	PICST_67704	CANTEDRAFT_112589	SPAPADRAFT_60516	PGUG_00712	CLUG_00158	YKL193C	CAGL0D03564g
orf19.4537	CAWG_01194	CD36_01700	CTRG_04592	CPAR2_106770	CORT0B08000	LELG_01589	DEHA2C14564g	PICST_57286	CANTEDRAFT_103422	SPAPADRAFT_131482	PGUG_01036	CLUG_00058	YGL043W	CAGL0D06160g
